row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,499.070.169.591,5.489.411.741.109,496.107.689.656,-,501.310.604.300,5.618.247.792,6.991.518.452.448,499070169591.0,5489411741109.0,496107689656.0,,501310604300.0,5618247792.0,6991518452448.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,3.053.700.299.303,,,,,,,3053700299303.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,,10.045.218.751.751,,,,,,,10045218751751.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,33.880.815.173,1.092.922.020.216,14.413.900.000,-,-,1.829.269.554,1.143.046.004.943,33880815173.0,1092922020216.0,14413900000.0,,,1829269554.0,1143046004943.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.076.635.384.126,,,,,,,1076635384126.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,2.219.681.389.069,,,,,,,2219681389069.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,550.866.415.914,5.132.297.038.865,485.640.293.967,-,501.305.540.832,9.386.070.002,6.679.495.359.580,550866415914.0,5132297038865.0,485640293967.0,,501305540832.0,9386070002.0,6679495359580.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,969.330.164.598,,,,,,,969330164598.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,7.648.825.524.178,,,,,,,7648825524178.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,55.725.820.900,1.473.130.344.891,15.856.300.000,-,-,6.889.276.201,1.551.601.741.992,55725820900.0,1473130344891.0,15856300000.0,,,6889276201.0,1551601741992.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.048.315.738.601,,,,,,,1048315738601.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,2.599.917.480.593,,,,,,,2599917480593.0
