row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.518.325.090.000,211.326.226.000,593.024.752.659,477.002.892.951,3.799.678.961.610,2518325090000.0,211326226000.0,593024752659.0,477002892951.0,3799678961610.0
Điều chính hồi tố,Điều chính hồi tố,Điều chính hồi tố,-,-,-,29.477.930.734,29.477.930.734,,,,29477930734.0,29477930734.0
Số dư đầu năm trước sau điều chỉnh hồi tố,Số dư đầu năm trước sau điều chỉnh hồi tố,Số dư đầu năm trước sau điều chỉnh hồi tố,2.518.325.090.000,211.326.226.000,593.024.752.659,506.480.823.685,3.829.156.892.344,2518325090000.0,211326226000.0,593024752659.0,506480823685.0,3829156892344.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,1.259.158.750.000,-,-,-,1.259.158.750.000,1259158750000.0,,,,1259158750000.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,243.608.556.298,243.608.556.298,,,,243608556298.0,243608556298.0
Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,-,-,111.553.717.543,(130.146.003.800),(18.592.286.257),,,111553717543.0,-130146003800.0,-18592286257.0
"Chia cổ tức, lợi nhuận trong năm trước","Chia cổ tức, lợi nhuận trong năm trước","Chia cổ tức, lợi nhuận trong năm trước",-,-,-,(264.423.868.800),(264.423.868.800),,,,-264423868800.0,-264423868800.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.777.483.840.000,211.326.226.000,704.578.470.202,355.519.507.383,5.048.908.043.585,3777483840000.0,211326226000.0,704578470202.0,355519507383.0,5048908043585.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.777.483.840.000,211.326.226.000,704.578.470.202,326.041.576.649,5.019.430.112.851,3777483840000.0,211326226000.0,704578470202.0,326041576649.0,5019430112851.0
Điều chính hồi tố,Điều chính hồi tố,Điều chính hồi tố,-,-,-,29.477.930.734,29.477.930.734,,,,29477930734.0,29477930734.0
Số dư đầu năm nay sau điều chỉnh hồi tố,Số dư đầu năm nay sau điều chỉnh hồi tố,Số dư đầu năm nay sau điều chỉnh hồi tố,3.777.483.840.000,211.326.226.000,704.578.470.202,355.519.507.383,5.048.908.043.585,3777483840000.0,211326226000.0,704578470202.0,355519507383.0,5048908043585.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,2.518.322.560.000,-,-,-,2.518.322.560.000,2518322560000.0,,,,2518322560000.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,459.361.378.912,459.361.378.912,,,,459361378912.0,459361378912.0
Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,-,-,48.721.711.260,(60.902.139.075),(12.180.427.815),,,48721711260.0,-60902139075.0,-12180427815.0
"Chia cổ tức, lợi nhuận","Chia cổ tức, lợi nhuận","Chia cổ tức, lợi nhuận",-,-,-,(188.874.192.000),(188.874.192.000),,,,-188874192000.0,-188874192000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.295.806.400.000,211.326.226.000,753.300.181.462,565.104.555.220,7.825.537.362.682,6295806400000.0,211326226000.0,753300181462.0,565104555220.0,7825537362682.0
