row_label_raw,row_label_full,"Cho thuê mặt bằng, trang thiết bị",-,5.384.562.000,numeric__-,numeric__5.384.562.000
Cho thuê và quản lý bất động sản đầu tư,Cho thuê và quản lý bất động sản đầu tư,Cho thuê và quản lý bất động sản đầu tư,17.103.272.724,14.684.636.361,17103272724.0,14684636361.0
Cho thuê xe,Cho thuê xe,Cho thuê xe,24.000.000,12.000.000,24000000.0,12000000.0
Thu nhượng tiền điện tại chung cư Aroma,Thu nhượng tiền điện tại chung cư Aroma,Thu nhượng tiền điện tại chung cư Aroma,5.068.789.269,4.425.495.080,5068789269.0,4425495080.0
Thu nhượng tiền nước tại Chung cư Sunrise,Thu nhượng tiền nước tại Chung cư Sunrise,Thu nhượng tiền nước tại Chung cư Sunrise,1.601.237.220,1.612.419.241,1601237220.0,1612419241.0
"Thanh lý công cụ, dụng cụ","Thanh lý công cụ, dụng cụ","Thanh lý công cụ, dụng cụ",-,120.000.000,,120000000.0
Thi công công trình,Thi công công trình,Thi công công trình,15.581.069.123,-,15581069123.0,
"Mua hàng hoá, dịch vụ","Mua hàng hoá, dịch vụ","Mua hàng hoá, dịch vụ",3.247.942.986,2.338.380.379,3247942986.0,2338380379.0
"Phí quản lý văn phòng, dự án","Phí quản lý văn phòng, dự án","Phí quản lý văn phòng, dự án",6.627.002.363,4.985.411.990,6627002363.0,4985411990.0
Nhận ký quỹ ngắn hạn,Nhận ký quỹ ngắn hạn,Nhận ký quỹ ngắn hạn,-,1.354.400.000,,1354400000.0
Nhận phân phối lợi nhuận,Nhận phân phối lợi nhuận,Nhận phân phối lợi nhuận,1.612.090.292,8.481.791.937,1612090292.0,8481791937.0
Muộn tiền,Muộn tiền,Muộn tiền,50.000.000.000,-,50000000000.0,
Nhận chuyển nhượng quyền sử dụng đất ô 8 lô J4A,Nhận chuyển nhượng quyền sử dụng đất ô 8 lô J4A,Nhận chuyển nhượng quyền sử dụng đất ô 8 lô J4A,,,,
Khu đô thị IJC,Nhận chuyển nhượng quyền sử dụng đất ô 8 lô J4A > Khu đô thị IJC,Khu đô thị IJC,5.732.175.376,-,5732175376.0,
Vay,Vay,Vay,-,-,,
Lãi vay,Vay > Lãi vay,Lãi vay,-,640.273.973,,640273973.0
