row_label_raw,row_label_full,Số cuối năm,Tổng nợ > Số cuối năm,Từ 01 nămtrở xuống > Số cuối năm,Trên 01 nămđến 05 năm > Số cuối năm,numeric__Tổng nợ > Số cuối năm,numeric__Từ 01 nămtrở xuống > Số cuối năm,numeric__Trên 01 nămđến 05 năm > Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,1.190.677.467.576,283.542.072,1.190.393.925.504,1190677467576.0,283542072.0,1190393925504.0
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,-,-,-,,,
Cộng,Trái phiếu thường > Cộng,Cộng,1.190.677.467.576,283.542.072,1.190.393.925.504,1190677467576.0,283542072.0,1190393925504.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Vay dài hạn ngân hàng,Số đầu năm > Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,546.780.960.000,-,546.780.960.000,546780960000.0,,546780960000.0
Trái phiếu thường,Số đầu năm > Trái phiếu thường,Trái phiếu thường,151.352.500.000,151.352.500.000,-,151352500000.0,151352500000.0,
Cộng,Số đầu năm > Cộng,Cộng,698.133.460.000,151.352.500.000,546.780.960.000,698133460000.0,151352500000.0,546780960000.0
