row_label_raw,row_label_full,"Mua hàng hoá, dịch vụ",67.270.000,477.410.820,numeric__67.270.000,numeric__477.410.820
Nhận phân phối lợi nhuận,Nhận phân phối lợi nhuận,Nhận phân phối lợi nhuận,4.298.995.076,4.053.633.529,4298995076.0,4053633529.0
Mượn tiền,Mượn tiền,Mượn tiền,25.000.000.000,-,25000000000.0,
Vay,Vay,Vay,-,9.000.000.000,,9000000000.0
Lãi vay,Lãi vay,Lãi vay,250.582.191,158.679.452,250582191.0,158679452.0
