row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
1.,III. Lưu chuyển tiền từ hoạt động tài chính > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,V.22,2.518.322.560.000,1.259.158.750.000,,31.0,,2518322560000.0,1259158750000.0
2.,III. Lưu chuyển tiền từ hoạt động tài chính > 2.,2.,"Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,-,-,,32.0,,,
3.,III. Lưu chuyển tiền từ hoạt động tài chính > 3.,3.,Tiền thu từ đi vay,33,V.19,1.407.276.590.518,1.352.031.587.043,,33.0,,1407276590518.0,1352031587043.0
4.,III. Lưu chuyển tiền từ hoạt động tài chính > 4.,4.,Tiền trả nợ gốc vay,34,V.19,(1.330.811.876.665),(1.183.756.968.113),,34.0,,-1330811876665.0,-1183756968113.0
5.,III. Lưu chuyển tiền từ hoạt động tài chính > 5.,5.,Tiền trả nợ gốc thuê tài chính,35,,-,-,,35.0,,,
6.,III. Lưu chuyển tiền từ hoạt động tài chính > 6.,6.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,"V.18, V.22",(189.282.565.900),(354.498.043.500),,36.0,,-189282565900.0,-354498043500.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,2.405.504.707.953,1.072.935.325.430,,40.0,,2405504707953.0,1072935325430.0
,,,Lưu chuyển tiền thuần trong năm,50,,833.677.868.877,(228.319.943.548),,50.0,,833677868877.0,-228319943548.0
,,,Tiền và tương đương tiền đầu năm,60,V.1,22.924.106.582,251.244.050.130,,60.0,,22924106582.0,251244050130.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,-,-,,61.0,,,
,,,Tiền và tương đương tiền cuối năm,70,V.1,856.601.975.459,22.924.106.582,,70.0,,856601975459.0,22924106582.0
