row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,15.517.155.221,106.000.000,15517155221.0,106000000.0
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,15.411.155.221,-,15411155221.0,
Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,106.000.000,106.000.000,106000000.0,106000000.0
Trả trước cho các người bán khác,Trả trước cho các người bán khác,Trả trước cho các người bán khác,37.136.190.275,3.704.321.030,37136190275.0,3704321030.0
Tổng Công ty Cổ phần Công trình Viettel,Tổng Công ty Cổ phần Công trình Viettel,Tổng Công ty Cổ phần Công trình Viettel,19.313.770.793,-,19313770793.0,
Công ty TNHH Xây dựng Thương mại Bách Cường,Công ty TNHH Xây dựng Thương mại Bách Cường,Công ty TNHH Xây dựng Thương mại Bách Cường,5.618.489.773,-,5618489773.0,
Công ty Điện lực Bình Dương,Công ty Điện lực Bình Dương,Công ty Điện lực Bình Dương,493.218.856,493.218.856,493218856.0,493218856.0
Công ty Cổ phần Công nghệ Tiên Phong,Công ty Cổ phần Công nghệ Tiên Phong,Công ty Cổ phần Công nghệ Tiên Phong,-,891.340.380,,891340380.0
Công ty TNHH Tư vấn Kiến trúc Quy hoạch A.A.P,Công ty TNHH Tư vấn Kiến trúc Quy hoạch A.A.P,Công ty TNHH Tư vấn Kiến trúc Quy hoạch A.A.P,-,739.886.020,,739886020.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,11.710.710.853,1.579.875.774,11710710853.0,1579875774.0
Cộng,Cộng,Cộng,52.653.345.496,3.810.321.030,52653345496.0,3810321030.0
