row_label_raw,row_label_full,Băng cân đối kế toán (số đầu năm),Mã số > Băng cân đối kế toán (số đầu năm),Số liệu trước điều chỉnh > Băng cân đối kế toán (số đầu năm),Các điều chỉnh > Băng cân đối kế toán (số đầu năm),Số liệu sau điều chỉnh > Băng cân đối kế toán (số đầu năm),numeric__Mã số > Băng cân đối kế toán (số đầu năm),numeric__Số liệu trước điều chỉnh > Băng cân đối kế toán (số đầu năm),numeric__Các điều chỉnh > Băng cân đối kế toán (số đầu năm),numeric__Số liệu sau điều chỉnh > Băng cân đối kế toán (số đầu năm)
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,22.425.206.712,7.369.482.684,29.794.689.396,313.0,22425206712.0,7369482684.0,29794689396.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,278.385.236.875,(36.847.413.418),241.537.823.457,315.0,278385236875.0,-36847413418.0,241537823457.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,326.041.576.649,29.477.930.734,355.519.507.383,421.0,326041576649.0,29477930734.0,355519507383.0
