row_label_raw,row_label_full,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Cổ đông có ảnh hưởng đáng kê,numeric__Cổ đông có ảnh hưởng đáng kê
Công ty TNHH MTV Khách sạn Becamex,Công ty TNHH MTV Khách sạn Becamex,Công ty TNHH MTV Khách sạn Becamex,Công ty con,
Công ty TNHH MTV Xây dựng IJC (trước đây là Công ty TNHH MTV Thương mại Becamex),Công ty TNHH MTV Xây dựng IJC (trước đây là Công ty TNHH MTV Thương mại Becamex),Công ty TNHH MTV Xây dựng IJC (trước đây là Công ty TNHH MTV Thương mại Becamex),Công ty con,
Công ty TNHH MTV WTC Bình Dương,Công ty TNHH MTV WTC Bình Dương,Công ty TNHH MTV WTC Bình Dương,Công ty con,
Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex – Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex – Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex – Bình Phước,Công ty liên kết,
Công ty Cổ Phần Đường Vành Đai 4 Thành phố Hồ Chí Minh,Công ty Cổ Phần Đường Vành Đai 4 Thành phố Hồ Chí Minh,Công ty Cổ Phần Đường Vành Đai 4 Thành phố Hồ Chí Minh,Công ty liên kết,
Công ty Cổ phần Đường cao tốc Thành phố Hồ Chí Minh - Thù Dầu Một - Chơn Thành,Công ty Cổ phần Đường cao tốc Thành phố Hồ Chí Minh - Thù Dầu Một - Chơn Thành,Công ty Cổ phần Đường cao tốc Thành phố Hồ Chí Minh - Thù Dầu Một - Chơn Thành,Công ty liên kết,
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty liên kết của Tập đoàn H Phát triển Công nghiệp Became CTCP,
Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty con của Công ty Cổ phần doanh và Phát triển Bình Dương,
Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty con của Công ty Cổ phần doanh và Phát triển Bình Dương,
