row_label_raw,row_label_full,Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Bình Dương(ii) > Ngân hàng TMCP Đông Nam Á – Chi nhánh Bình Dương(iii) > Ngân hàng TMCP Quốc tế Việt Nam(iv),Số cuối năm > - > 65.492.815.495,Số đầu năm > 199.999.552.523 > 45.746.388.500 > 126.284.424.770,numeric__Số cuối năm > - > 65.492.815.495,numeric__Số đầu năm > 199.999.552.523 > 45.746.388.500 > 126.284.424.770
Vay ngắn hạn các cá nhân khác,Vay ngắn hạn các cá nhân khác,Vay ngắn hạn các cá nhân khác,-,2.000.000.000,,2000000000.0
Vay dài hạn đến hạn trả (xem thuyết minh số V.19b),Vay dài hạn đến hạn trả (xem thuyết minh số V.19b),Vay dài hạn đến hạn trả (xem thuyết minh số V.19b),283.542.072,-,283542072.0,
Trái phiếu thường dài hạn đến hạn trả (xem thuyết minh số V.19b),Trái phiếu thường dài hạn đến hạn trả (xem thuyết minh số V.19b),Trái phiếu thường dài hạn đến hạn trả (xem thuyết minh số V.19b),-,151.352.500.000,,151352500000.0
Cộng,Cộng,Cộng,85.866.074.487,651.366.826.138,85866074487.0,651366826138.0
