row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,Tài sản cố địnhkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__Tài sản cố địnhkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.405.212.512.893,2.387.208.965.922,310.370.928.896,61.960.653.465,36.657.998.062,6.201.411.059.238,3405212512893.0,2387208965922.0,310370928896.0,61960653465.0,36657998062.0,6201411059238.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,919.292.136,7.702.051.855,3.199.279.091,519.179.545,-,12.339.802.627,919292136.0,7702051855.0,3199279091.0,519179545.0,,12339802627.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,4.124.532.049,11.418.179.910,40.636.670,-,-,15.583.348.629,4124532049.0,11418179910.0,40636670.0,,,15583348629.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(19.192.028.933),(19.637.474.732),(11.478.071.268),(2.965.091.030),-,(53.272.665.963),-19192028933.0,-19637474732.0,-11478071268.0,-2965091030.0,,-53272665963.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(147.840.000),147.840.000,-,-,-,,-147840000.0,147840000.0,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.391.064.308.145,2.386.543.882.955,302.280.613.389,59.514.741.980,36.657.998.062,6.176.061.544.531,3391064308145.0,2386543882955.0,302280613389.0,59514741980.0,36657998062.0,6176061544531.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.995.046.522.033,1.591.588.963.511,239.240.354.173,53.733.821.382,31.060.679.553,3.910.670.340.652,1995046522033.0,1591588963511.0,239240354173.0,53733821382.0,31060679553.0,3910670340652.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,141.620.066.099,138.483.807.952,19.555.038.345,2.873.441.903,842.485.467,303.374.839.766,141620066099.0,138483807952.0,19555038345.0,2873441903.0,842485467.0,303374839766.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(15.396.662.719),(17.512.194.461),(11.139.106.170),(3.593.784.257),-,(47.641.747.607),-15396662719.0,-17512194461.0,-11139106170.0,-3593784257.0,,-47641747607.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(147.840.000),147.840.000,-,-,-,,-147840000.0,147840000.0,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.121.269.925.413,1.712.412.737.002,247.804.126.348,53.013.479.028,31.903.165.020,4.166.403.432.811,2121269925413.0,1712412737002.0,247804126348.0,53013479028.0,31903165020.0,4166403432811.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.410.165.990.860,795.620.002.411,71.130.574.723,8.226.832.083,5.597.318.509,2.290.740.718.586,1410165990860.0,795620002411.0,71130574723.0,8226832083.0,5597318509.0,2290740718586.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.269.794.382.732,674.131.145.953,54.476.487.041,6.501.262.952,4.754.833.042,2.009.658.111.720,1269794382732.0,674131145953.0,54476487041.0,6501262952.0,4754833042.0,2009658111720.0
