row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,818.159.441.639,10.147.305.826,10.540.892.838,838.847.640.303,818159441639.0,10147305826.0,10540892838.0,838847640303.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,150.000.000,-,150.000.000,,150000000.0,,150000000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(273.795.888),(716.052.426),(989.848.314),,-273795888.0,-716052426.0,-989848314.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,818.159.441.639,10.023.509.938,9.824.840.412,838.007.791.989,818159441639.0,10023509938.0,9824840412.0,838007791989.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.345.174.260,10.063.942.106,9.033.780.922,47.442.897.288,28345174260.0,10063942106.0,9033780922.0,47442897288.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.907.383.318,91.943.140,247.757.054,4.247.083.512,3907383318.0,91943140.0,247757054.0,4247083512.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(273.795.888),(649.980.716),(923.776.604),,-273795888.0,-649980716.0,-923776604.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,32.252.557.578,9.882.089.358,8.631.557.260,50.766.204.196,32252557578.0,9882089358.0,8631557260.0,50766204196.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,789.814.267.379,83.363.720,1.507.111.916,791.404.743.015,789814267379.0,83363720.0,1507111916.0,791404743015.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,785.906.884.061,141.420.580,1.193.283.152,787.241.587.793,785906884061.0,141420580.0,1193283152.0,787241587793.0
