row_label_raw,row_label_full,col_0,2021VND,2020VND,numeric__2021VND,numeric__2020VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,,,,
Bán hàng,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang > Bán hàng,Bán hàng,1.842.860.000,,1842860000.0,
Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,,
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",4.128.768.000,4.670.893.700,4128768000.0,4670893700.0
Mua hàng hóa,Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket > Mua hàng hóa,Mua hàng hóa,128.081.675,,128081675.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,Công ty Cổ phần Bao bì Bình Tây,,,,
Mua hàng hóa,Công ty Cổ phần Bao bì Bình Tây > Mua hàng hóa,Mua hàng hóa,-,40.560.740,,40560740.0
Ban Tổng Giám Đốc và Hội đồng Quản trị Nhóm Công ty,Ban Tổng Giám Đốc và Hội đồng Quản trị Nhóm Công ty,Ban Tổng Giám Đốc và Hội đồng Quản trị Nhóm Công ty,Ban Tổng Giám Đốc và Hội đồng Quản trị Nhóm Công ty,Ban Tổng Giám Đốc và Hội đồng Quản trị Nhóm Công ty,,
Tiền lương và thường,Ban Tổng Giám Đốc và Hội đồng Quản trị Nhóm Công ty > Tiền lương và thường,Tiền lương và thường,3.802.201.000,2.359.723.727,3802201000.0,2359723727.0
