row_label_raw,row_label_full,col_0,Mã số minh,Thuyết 2021 VND,2020 VND,numeric__Mã số minh,numeric__Thuyết 2021 VND,numeric__2020 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lỗ kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ kế toán trước thuế Điều chỉnh cho các khoản,Lỗ kế toán trước thuế Điều chỉnh cho các khoản,01,(298.535.935.957),(210.109.338.631),1.0,-298535935957.0,-210109338631.0
Khẩu hao tài sản cố định và bất động sản đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khẩu hao tài sản cố định và bất động sản đầu tư,Khẩu hao tài sản cố định và bất động sản đầu tư,02,308.483.081.796,329.465.432.600,2.0,308483081796.0,329465432600.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,57.861.297.042,34.704.150.820,3.0,57861297042.0,34704150820.0
Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang,Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang,04,6.762.856.962,(410.100.943),4.0,6762856962.0,-410100943.0
Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang,Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi)/lỗ từ thanh lý tài sản cố định hữu hình và xây dựng cơ bản dở dang,05,(29.725.758.208),7.425.007.776,5.0,-29725758208.0,7425007776.0
"Lãi từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác","Lãi từ cổ tức, lãi tiền gửi và hoạt động đầu tư khác",05,(5.862.010.040),(6.885.384.489),5.0,-5862010040.0,-6885384489.0
Phần lãi từ công ty liên kết,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Phần lãi từ công ty liên kết,Phần lãi từ công ty liên kết,05,(2.041.012.745),(6.557.016.557),5.0,-2041012745.0,-6557016557.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,117.195.331.878,114.239.406.853,6.0,117195331878.0,114239406853.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,154.137.850.728,261.872.157.429,8.0,154137850728.0,261872157429.0
