row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư cổ phần VND,Vốn khác của chủ sở hữu (*) VND,Chênh lệch đánh giá lại tài sản (**) VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu (***) VND,Lỗ lũy kế VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư cổ phần VND,numeric__Vốn khác của chủ sở hữu (*) VND,numeric__Chênh lệch đánh giá lại tài sản (**) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu (***) VND,numeric__Lỗ lũy kế VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020(Lỗ)/lợi nhuận thuần trong năm,Số dư tại ngày 1 tháng 1 năm 2020(Lỗ)/lợi nhuận thuần trong năm,Số dư tại ngày 1 tháng 1 năm 2020(Lỗ)/lợi nhuận thuần trong năm,5.000.000.000.000,2.890.195.478,452.222.999,(215.070.235.809),91.524.511.850,231.825.797.290,(2.181.079.199.124),207.656.212.437,3.138.199.505.121,5000000000000.0,2890195478.0,452222999.0,-215070235809.0,91524511850.0,231825797290.0,-2181079199124.0,207656212437.0,3138199505121.0
Phát hành cổ phiếu thường chia cổ tức,Phát hành cổ phiếu thường chia cổ tức,Phát hành cổ phiếu thường chia cổ tức,-,-,-,-,-,-,(245.996.577.067),7.048.957.751,(238.947.619.316),,,,,,,-245996577067.0,7048957751.0,-238947619316.0
Tăng vốn từ quỹ đầu tư phát triển,Tăng vốn từ quỹ đầu tư phát triển,Tăng vốn từ quỹ đầu tư phát triển,-,-,3.249.567.089,-,-,-,(3.249.567.089),-,-,,,3249567089.0,,,,-3249567089.0,,
Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty,Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty,Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty,-,-,8.197.422.911,-,(8.197.422.911),-,-,-,-,,,8197422911.0,,-8197422911.0,,,,
Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),-,-,-,-,2.743.362.612,-,(2.743.362.612),-,-,,,,,2743362612.0,,-2743362612.0,,
Trích quỹ khen thưởng và phúc lợi của công ty liên kết,Trích quỹ khen thưởng và phúc lợi của công ty liên kết,Trích quỹ khen thưởng và phúc lợi của công ty liên kết,-,-,-,-,-,-,(5.538.046.135),(4.966.763.738),(10.504.809.873),,,,,,,-5538046135.0,-4966763738.0,-10504809873.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(1.141.847.024),-,(1.141.847.024),,,,,,,-1141847024.0,,-1141847024.0
Chi thù lao Hội đồng Quản trị của Nhóm Công ty,Chi thù lao Hội đồng Quản trị của Nhóm Công ty,Chi thù lao Hội đồng Quản trị của Nhóm Công ty,-,-,-,-,-,-,-,(16.460.157.352),(16.460.157.352),,,,,,,,-16460157352.0,-16460157352.0
Chi thù lao Hội đồng Quản trị của công ty liên kết,Chi thù lao Hội đồng Quản trị của công ty liên kết,Chi thù lao Hội đồng Quản trị của công ty liên kết,-,-,-,-,-,-,(74.400.000),(52.000.000),(126.400.000),,,,,,,-74400000.0,-52000000.0,-126400000.0
Trích làm hoạt động từ thiện,Trích làm hoạt động từ thiện,Trích làm hoạt động từ thiện,-,-,-,-,-,-,(24.580.193),-,(24.580.193),,,,,,,-24580193.0,,-24580193.0
Trích quỹ ban quản lý,Trích quỹ ban quản lý,Trích quỹ ban quản lý,-,-,-,-,-,-,(230.846.923),(219.153.077),(450.000.000),,,,,,,-230846923.0,-219153077.0,-450000000.0
Trích quỹ hỗ trợ địa phương của công ty liên kết,Trích quỹ hỗ trợ địa phương của công ty liên kết,Trích quỹ hỗ trợ địa phương của công ty liên kết,-,-,-,-,-,-,(127.500.000),(122.500.000),(250.000.000),,,,,,,-127500000.0,-122500000.0,-250000000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,(276.480.000),-,(276.480.000),,,,,,,-276480000.0,,-276480000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,(2.463.123.077),-,-,2.463.123.077,-,,,,,-2463123077.0,,,2463123077.0,
,,,,,,,116.885,-,(71.497.949),24.064.658,(47.316.406),,,,,116885.0,,-71497949.0,24064658.0,-47316406.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,5.000.000.000.000,2.890.195.478,11.899.212.999,(215.070.235.809),83.607.445.359,231.825.797.290,(2.440.553.904.116),195.371.783.756,2.869.970.294.957,5000000000000.0,2890195478.0,11899212999.0,-215070235809.0,83607445359.0,231825797290.0,-2440553904116.0,195371783756.0,2869970294957.0
