row_label_raw,row_label_full,Bên cho vay > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Loại tiền > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Thuyết minh > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,31/12/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,1/1/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__Loại tiền > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__Thuyết minh > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__31/12/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__1/1/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,USD,(ii),253.827.855.390,213.825.748.956,,,253827855390.0,213825748956.0
▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,VND,(ii),-,40.174.529.600,,,,40174529600.0
▪ Khoản vay 3,▪ Khoản vay 3,▪ Khoản vay 3,VND,(i),25.058.065.607,32.749.391.035,,,25058065607.0,32749391035.0
▪ Khoản vay 4,▪ Khoản vay 4,▪ Khoản vay 4,VND,(iv),49.079.780.628,19.934.263.581,,,49079780628.0,19934263581.0
▪ Khoản vay 5,▪ Khoản vay 5,▪ Khoản vay 5,VND,(ii); (iv),9.139.348.350,949.297.128,,,9139348350.0,949297128.0
Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Quân đội > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),-,175.525.803.800,,,,175525803800.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Quân đội > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(i),449.034.972.320,-,,,449034972320.0,
Công ty Cổ phần Thương mại Địa ốc Việt,Ngân hàng Thương mại Cổ phần Quân đội > Công ty Cổ phần Thương mại Địa ốc Việt,Công ty Cổ phần Thương mại Địa ốc Việt,VND,(i),900.000.000,900.000.000,,,900000000.0,900000000.0
Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,,,,
