row_label_raw,row_label_full,col_0,1/1/2021 > Giá trị ghi số VND,1/1/2021 > Số có khả năng trả nợ VND,Biến động trong năm > Tăng VND,Biến động trong năm > Giảm VND,Biến động trong năm > Chênh lệch tỷ giá VND,31/12/2021 > Giá trị ghi số VND,31/12/2021 > Số có khả năng trả nợ VND,numeric__1/1/2021 > Giá trị ghi số VND,numeric__1/1/2021 > Số có khả năng trả nợ VND,numeric__Biến động trong năm > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Biến động trong năm > Chênh lệch tỷ giá VND,numeric__31/12/2021 > Giá trị ghi số VND,numeric__31/12/2021 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.406.171.397.562,1.406.171.397.562,9.573.976.764.622,(9.098.319.249.339),3.658.256.590,1.885.487.169.435,1.885.487.169.435,1406171397562.0,1406171397562.0,9573976764622.0,-9098319249339.0,3658256590.0,1885487169435.0,1885487169435.0
Vay dài hạn đến hạn trả (Thuyết minh 25(b)),Vay dài hạn đến hạn trả (Thuyết minh 25(b)),Vay dài hạn đến hạn trả (Thuyết minh 25(b)),45.548.943.501,45.548.943.501,5.851.468.179,(38.161.037.388),-,13.239.374.292,13.239.374.292,45548943501.0,45548943501.0,5851468179.0,-38161037388.0,,13239374292.0,13239374292.0
,,,1.451.720.341.063,1.451.720.341.063,9.579.828.232.801,(9.136.480.286.727),3.658.256.590,1.898.726.543.727,1.898.726.543.727,1451720341063.0,1451720341063.0,9579828232801.0,-9136480286727.0,3658256590.0,1898726543727.0,1898726543727.0
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,,,,Loại tiền,Thuyết minh,31/12/2021 VND,1/1/2021 VND,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,,,,USD VND VND USD VND,"(i) (i) (ii), (vi) (ii) (ii), (vi)",188.788.762.898 112.704.901.750 56.811.458.850 9.033.421.679 46.143.244.717,134.047.857.762 232.121.539.555 36.501.366.456 23.656.085.000 24.412.075.217,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,,,,USD VND VND USD VND,"(i) (i) (ii), (vi) (ii) (ii), (vi)",188.788.762.898 112.704.901.750 56.811.458.850 9.033.421.679 46.143.244.717,134.047.857.762 232.121.539.555 36.501.366.456 23.656.085.000 24.412.075.217,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,,,,USD VND VND USD VND,"(i) (i) (ii), (vi) (ii) (ii), (vi)",188.788.762.898 112.704.901.750 56.811.458.850 9.033.421.679 46.143.244.717,134.047.857.762 232.121.539.555 36.501.366.456 23.656.085.000 24.412.075.217,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,,,,USD VND VND USD VND,"(i) (i) (ii), (vi) (ii) (ii), (vi)",188.788.762.898 112.704.901.750 56.811.458.850 9.033.421.679 46.143.244.717,134.047.857.762 232.121.539.555 36.501.366.456 23.656.085.000 24.412.075.217,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam▪ Khoản vay 1▪ Khoản vay 2▪ Khoản vay 3▪ Khoản vay 4Ngân hàng Thương mại Cổ phần Công thương Việt NamNgân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam▪ Khoản vay 1,,,,USD VND VND USD VND,"(i) (i) (ii), (vi) (ii) (ii), (vi)",188.788.762.898 112.704.901.750 56.811.458.850 9.033.421.679 46.143.244.717,134.047.857.762 232.121.539.555 36.501.366.456 23.656.085.000 24.412.075.217,,,,,,,
