row_label_raw,row_label_full,col_0,Mã Thuyếtsố minh,2021VND,2020VND,numeric__Mã Thuyếtsố minh,numeric__2021VND,numeric__2020VND
Lỗ thuần sau thuế thu nhập doanhnghiệp (60 = 50 - 51 - 52)(mang sang từ trang trước),Lỗ thuần sau thuế thu nhập doanhnghiệp (60 = 50 - 51 - 52)(mang sang từ trang trước),Lỗ thuần sau thuế thu nhập doanhnghiệp (60 = 50 - 51 - 52)(mang sang từ trang trước),60,(324.263.178.202),(238.947.619.316),60.0,-324263178202.0,-238947619316.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Lỗ sau thuế của Công ty mẹ,Trong đó: > Lỗ sau thuế của Công ty mẹ,Lỗ sau thuế của Công ty mẹ,61,(348.895.795.341),(245.996.577.067),61.0,-348895795341.0,-245996577067.0
Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,Trong đó: > Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,62,24.632.617.139,7.048.957.751,62.0,24632617139.0,7048957751.0
Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,Lỗ trên cổ phiếu,,,
Lỗ cơ bản trên cổ phiếu,Lỗ trên cổ phiếu > Lỗ cơ bản trên cổ phiếu,Lỗ cơ bản trên cổ phiếu,70 40,(717),(503),,-717.0,-503.0
