row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư cổ phần VND,Vốn khác của chủ sở hữu (*) VND,Chênh lệch đánh giá lại tài sản (**) VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu (***) VND,Lỗ lũy kế VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư cổ phần VND,numeric__Vốn khác của chủ sở hữu (*) VND,numeric__Chênh lệch đánh giá lại tài sản (**) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu (***) VND,numeric__Lỗ lũy kế VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,5.000.000.000.000,2.890.195.478,11.899.212.999,(215.070.235.809),83.607.445.359,231.825.797.290,(2.440.553.904.116),195.371.783.756,2.869.970.294.957,5000000000000.0,2890195478.0,11899212999.0,-215070235809.0,83607445359.0,231825797290.0,-2440553904116.0,195371783756.0,2869970294957.0
(Lỗ)/lợi nhuận thuần trong năm,(Lỗ)/lợi nhuận thuần trong năm,(Lỗ)/lợi nhuận thuần trong năm,-,-,-,-,-,-,(348.895.795.341),24.632.617.139,(324.263.178.202),,,,,,,-348895795341.0,24632617139.0,-324263178202.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,4.047.825.982,-,(4.047.825.982),-,-,,,,,4047825982.0,,-4047825982.0,,
Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),Trích quỹ khen thưởng và phúc lợi của Nhóm Công ty (Thuyết minh 26),-,-,-,-,-,-,(9.389.068.576),(7.066.062.447),(16.455.131.023),,,,,,,-9389068576.0,-7066062447.0,-16455131023.0
Trích quỹ khen thưởng và phúc lợi của công ty liên kết,Trích quỹ khen thưởng và phúc lợi của công ty liên kết,Trích quỹ khen thưởng và phúc lợi của công ty liên kết,-,-,-,-,-,-,(1.019.807.425),-,(1.019.807.425),,,,,,,-1019807425.0,,-1019807425.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,-,(27.896.956.600),(27.896.956.600),,,,,,,,-27896956600.0,-27896956600.0
Chi thủ lao Hội đồng Quản trị của Nhóm Công ty,Chi thủ lao Hội đồng Quản trị của Nhóm Công ty,Chi thủ lao Hội đồng Quản trị của Nhóm Công ty,-,-,-,-,-,-,(32.158.122),(87.685.262),(119.843.384),,,,,,,-32158122.0,-87685262.0,-119843384.0
Chi thủ lao Hội đồng Quản trị của công ty liên kết,Chi thủ lao Hội đồng Quản trị của công ty liên kết,Chi thủ lao Hội đồng Quản trị của công ty liên kết,-,-,-,-,-,-,(220.408.800),-,(220.408.800),,,,,,,-220408800.0,,-220408800.0
Trích làm hoạt động từ thiện,Trích làm hoạt động từ thiện,Trích làm hoạt động từ thiện,-,-,-,-,-,-,(670.282.912),(577.717.088),(1.248.000.000),,,,,,,-670282912.0,-577717088.0,-1248000000.0
"Trích quỹ từ thiện, khên thưởng ban điều hành – công ty liên kết","Trích quỹ từ thiện, khên thưởng ban điều hành – công ty liên kết","Trích quỹ từ thiện, khên thưởng ban điều hành – công ty liên kết",-,-,-,-,-,-,(122.880.000),-,(122.880.000),,,,,,,-122880000.0,,-122880000.0
Tạm ứng cổ tức,Tạm ứng cổ tức,Tạm ứng cổ tức,-,-,-,-,-,-,-,(1.901.200.000),(1.901.200.000),,,,,,,,-1901200000.0,-1901200000.0
Tăng giám khác – công ty liên kết,Tăng giám khác – công ty liên kết,Tăng giám khác – công ty liên kết,-,-,-,-,-,-,(1.696.346.005),-,(1.696.346.005),,,,,,,-1696346005.0,,-1696346005.0
Tăng/(giám) khác,Tăng/(giám) khác,Tăng/(giám) khác,-,(600),-,-,1.086.178,-,(262.556.916),103.071.338,(158.400.000),,-600.0,,,1086178.0,,-262556916.0,103071338.0,-158400000.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,5.000.000.000.000,2.890.194.878,11.899.212.999,(215.070.235.809),87.656.357.519,231.825.797.290,(2.806.911.034.195),182.577.850.836,2.494.868.143.518,5000000000000.0,2890194878.0,11899212999.0,-215070235809.0,87656357519.0,231825797290.0,-2806911034195.0,182577850836.0,2494868143518.0
