row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2023,NGUYÊN GIÁ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,56.509.547.894,12.061.498.435,17.941.963.637,2.299.763.332,88.812.773.298,56509547894.0,12061498435.0,17941963637.0,2299763332.0,88812773298.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,2.521.475.565,-,84.263.636,114.384.000,2.720.123.201,2521475565.0,,84263636.0,114384000.0,2720123201.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,-,114.384.000,114.384.000,,,,114384000.0,114384000.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,1.781.479.083,-,,-,1.781.479.083,1781479083.0,,,,1781479083.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,739.996.482,-,84.263.636,-,824.260.118,739996482.0,,84263636.0,,824260118.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,2.441.825.766,5.838.276.364,-,8.280.102.130,,2441825766.0,5838276364.0,,8280102130.0
Phân loại theo mục đích sử dụng,NGUYÊN GIÁ > Phân loại theo mục đích sử dụng,Phân loại theo mục đích sử dụng,-,-,5.838.276.364,-,5.838.276.364,,,5838276364.0,,5838276364.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,2.441.825.766,-,-,2.441.825.766,,2441825766.0,,,2441825766.0
Số dư tại 31/12/2023,NGUYÊN GIÁ > Số dư tại 31/12/2023,Số dư tại 31/12/2023,59.031.023.459,9.619.672.669,12.187.950.909,2.414.147.332,83.252.794.369,59031023459.0,9619672669.0,12187950909.0,2414147332.0,83252794369.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,6.519.487.033,3.389.086.370,14.779.821.999,2.133.341.356,26.821.736.758,6519487033.0,3389086370.0,14779821999.0,2133341356.0,26821736758.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.045.252.694,836.765.610,572.571.924,113.975.248,3.568.565.476,2045252694.0,836765610.0,572571924.0,113975248.0,3568565476.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,291.684.063,251.482.284,572.571.924,75.308.584,1.191.046.855,291684063.0,251482284.0,572571924.0,75308584.0,1191046855.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,1.753.568.631,585.283.326,-,38.666.664,2.377.518.621,1753568631.0,585283326.0,,38666664.0,2377518621.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,207.032.013,3.840.205.585,-,4.047.237.598,,207032013.0,3840205585.0,,4047237598.0
Phân loại theo mục đích sử dụng,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại theo mục đích sử dụng,Phân loại theo mục đích sử dụng,-,207.032.013,2.467.847.082,-,2.674.879.095,,207032013.0,2467847082.0,,2674879095.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,-,1.372.358.503,-,1.372.358.503,,,1372358503.0,,1372358503.0
Số dư tại 31/12/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2023,Số dư tại 31/12/2023,8.564.739.727,4.018.819.967,11.512.188.338,2.247.316.604,26.343.064.636,8564739727.0,4018819967.0,11512188338.0,2247316604.0,26343064636.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2023,GIÁ TRỊ CÒN LẠI > Tại 01/01/2023,Tại 01/01/2023,49.990.060.861,8.672.412.065,3.162.141.638,166.421.976,61.991.036.540,49990060861.0,8672412065.0,3162141638.0,166421976.0,61991036540.0
Tại 31/12/2023,GIÁ TRỊ CÒN LẠI > Tại 31/12/2023,Tại 31/12/2023,50.466.283.732,5.600.852.702,675.762.571,166.830.728,56.909.729.733,50466283732.0,5600852702.0,675762571.0,166830728.0,56909729733.0
