row_label_raw,row_label_full,Số dư tại 01/01/2022,Vốn đầu tư của chủ sở hữu > 3.041.685.810.000,Thặng dư vốn cổ phần > 60.986.800.000,Quỹ khác của chủ sở hữu > 1.086.479.930,Quỹ đầu tư phát triển > -,Lợi nhuận sau thuế chưa phân phối > 225.101.331.269,Lợi ích cổ đông không kiểm soát > 197.887.821.255,Đơn vị tính: VND Tổng > 3.526.748.242.454,numeric__Vốn đầu tư của chủ sở hữu > 3.041.685.810.000,numeric__Thặng dư vốn cổ phần > 60.986.800.000,numeric__Quỹ khác của chủ sở hữu > 1.086.479.930,numeric__Quỹ đầu tư phát triển > -,numeric__Lợi nhuận sau thuế chưa phân phối > 225.101.331.269,numeric__Lợi ích cổ đông không kiểm soát > 197.887.821.255,numeric__Đơn vị tính: VND Tổng > 3.526.748.242.454
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,,,,,,,-,,,,,,,
Lãi/Lỗ trong năm trước,Chia cổ tức bằng cổ phiếu > Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,-,-,-,-,(60.410.352.775),2.048.376.507,(58.361.976.268),,,,,-60410352775.0,2048376507.0,-58361976268.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,-,,,,,,,
Trích quỹ khen thưởng phúc lợi,Chia cổ tức > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(12.116.582.304),(201.542.827),(12.318.125.131),,,,,-12116582304.0,-201542827.0,-12318125131.0
Thù lao HĐQT,Chia cổ tức > Thù lao HĐQT,Thù lao HĐQT,-,-,-,-,(524.831.615),(147.868.385),(672.700.000),,,,,-524831615.0,-147868385.0,-672700000.0
Tăng do bán Công ty liên kết,Chia cổ tức > Tăng do bán Công ty liên kết,Tăng do bán Công ty liên kết,-,-,-,-,2.238.949.591,-,2.238.949.591,,,,,2238949591.0,,2238949591.0
Giảm do bán Công ty con,Chia cổ tức > Giảm do bán Công ty con,Giảm do bán Công ty con,-,-,-,-,-,(38.854.353),(38.854.353),,,,,,-38854353.0,-38854353.0
Số dư tại 31/12/2022,Chia cổ tức > Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.041.685.810.000,60.986.800.000,1.086.479.930,-,154.288.514.166,199.547.932.197,3.457.595.536.293,3041685810000.0,60986800000.0,1086479930.0,,154288514166.0,199547932197.0,3457595536293.0
Số dư tại 01/01/2023,Chia cổ tức > Số dư tại 01/01/2023,Số dư tại 01/01/2023,3.041.685.810.000,60.986.800.000,1.086.479.930,-,154.288.514.166,199.547.932.197,3.457.595.536.293,3041685810000.0,60986800000.0,1086479930.0,,154288514166.0,199547932197.0,3457595536293.0
Lãi trong năm nay,Chia cổ tức > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,127.349.323.049,7.588.461.090,134.937.784.139,,,,,127349323049.0,7588461090.0,134937784139.0
"Chi Khen thưởng phúc lợi, thù lao HĐQT tại các Công ty con","Chia cổ tức > Chi Khen thưởng phúc lợi, thù lao HĐQT tại các Công ty con","Chi Khen thưởng phúc lợi, thù lao HĐQT tại các Công ty con",-,-,-,-,(1.414.331.970),(382.134.134),(1.796.466.104),,,,,-1414331970.0,-382134134.0,-1796466104.0
Chia trả cổ tức tại Công ty con,Chia cổ tức > Chia trả cổ tức tại Công ty con,Chia trả cổ tức tại Công ty con,-,-,-,-,-,(1.009.482.349),(1.009.482.349),,,,,,-1009482349.0,-1009482349.0
"Thù lao HĐQT, các Ủy ban trực thuộc HĐQT","Chia cổ tức > Thù lao HĐQT, các Ủy ban trực thuộc HĐQT","Thù lao HĐQT, các Ủy ban trực thuộc HĐQT",-,-,-,-,(1.960.000.000),-,(1.960.000.000),,,,,-1960000000.0,,-1960000000.0
Trích Quỹ tại Công ty con,Chia cổ tức > Trích Quỹ tại Công ty con,Trích Quỹ tại Công ty con,-,-,-,412.760.810,(412.760.810),-,-,,,,412760810.0,-412760810.0,,
Số dư tại 31/12/2023,Chia cổ tức > Số dư tại 31/12/2023,Số dư tại 31/12/2023,3.041.685.810.000,60.986.800.000,1.086.479.930,412.760.810,277.850.744.435,205.744.776.804,3.587.767.371.979,3041685810000.0,60986800000.0,1086479930.0,412760810.0,277850744435.0,205744776804.0,3587767371979.0
