row_label_raw,row_label_full,col_0,Phần mềmmáy tính,Đơn vi tính: VNDTổng,numeric__Phần mềmmáy tính,numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2023,NGUYÊN GIÁ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,940.007.500,940.007.500,940007500.0,940007500.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,45.000.000,45.000.000,45000000.0,45000000.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,45.000.000,45.000.000,45000000.0,45000000.0
Số dư tại 31/12/2023,NGUYÊN GIÁ > Số dư tại 31/12/2023,Số dư tại 31/12/2023,985.007.500,985.007.500,985007500.0,985007500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư tại 01/01/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,383.460.386,383.460.386,383460386.0,383460386.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,158.185.004,158.185.004,158185004.0,158185004.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,158.185.004,158.185.004,158185004.0,158185004.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2023,Giảm trong năm > Số dư tại 31/12/2023,Số dư tại 31/12/2023,541.645.390,541.645.390,541645390.0,541645390.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại 01/01/2023,GIÁ TRỊ CÒN LẠI > Tại 01/01/2023,Tại 01/01/2023,556.547.114,556.547.114,556547114.0,556547114.0
Tại 31/12/2023,GIÁ TRỊ CÒN LẠI > Tại 31/12/2023,Tại 31/12/2023,443.362.110,443.362.110,443362110.0,443362110.0
