row_label_raw,row_label_full,col_0,Kinh doanhbát động sản,Kinh doanhdịch vụ môi giới,"Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",Tổng,numeric__Kinh doanhbát động sản,numeric__Kinh doanhdịch vụ môi giới,"numeric__Kinh doanh cho thuê BĐS,dịch vụ quản lý BĐS vàhoạt động liên quan khác",numeric__Tổng
DOANH THUTổng doanh thu,DOANH THUTổng doanh thu,DOANH THUTổng doanh thu,1.520.490.846.773,-,159.783.379.269,1.680.274.226.042,1520490846773.0,,159783379269.0,1680274226042.0
Doanh thu,Doanh thu,Doanh thu,1.520.490.846.773,-,159.783.379.269,1.680.274.226.042,1520490846773.0,,159783379269.0,1680274226042.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,278.524.320.015,-,9.529.947.720,288.054.267.735,278524320015.0,,9529947720.0,288054267735.0
Thu nhập/chỉ phí không phân bổLợi nhuận thuần trước thuếThuế thu nhập doanh nghiệp,Thu nhập/chỉ phí không phân bổLợi nhuận thuần trước thuếThuế thu nhập doanh nghiệp,Thu nhập/chỉ phí không phân bổLợi nhuận thuần trước thuếThuế thu nhập doanh nghiệp,,,,(99.026.540.962)189.027.726.773(54.089.942.634),,,,
Lợi nhuận trong năm,Thu nhập/chỉ phí không phân bổLợi nhuận thuần trước thuếThuế thu nhập doanh nghiệp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,134.937.784.139,,,,134937784139.0
