row_label_raw,row_label_full,col_0,31/12/2023 > Giá trị,31/12/2023 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2023 > Giá trị,01/01/2023 > Số có khả năng trả nợ,numeric__31/12/2023 > Giá trị,numeric__31/12/2023 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2023 > Giá trị,numeric__01/01/2023 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.828.353.991.442,1.828.353.991.442,2.170.473.804.475,1.671.630.491.767,1.329.510.678.734,1.329.510.678.734,1828353991442.0,1828353991442.0,2170473804475.0,1671630491767.0,1329510678734.0,1329510678734.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),504.266.741.905,504.266.741.905,777.886.191.994,487.344.388.234,213.724.938.145,213.724.938.145,504266741905.0,504266741905.0,777886191994.0,487344388234.0,213724938145.0,213724938145.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,362.675.648.023,362.675.648.023,379.358.213.181,35.468.130.878,18.785.565.720,18.785.565.720,362675648023.0,362675648023.0,379358213181.0,35468130878.0,18785565720.0,18785565720.0
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,141.591.093.882,141.591.093.882,398.527.978.813,451.876.257.356,194.939.372.425,194.939.372.425,141591093882.0,141591093882.0,398527978813.0,451876257356.0,194939372425.0,194939372425.0
Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),248.808.000.000,248.808.000.000,,520.527.294.117,769.335.294.117,769.335.294.117,248808000000.0,248808000000.0,,520527294117.0,769335294117.0,769335294117.0
Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),743.880.127.619,743.880.127.619,1.029.068.681.147,562.400.000.000,277.211.446.472,277.211.446.472,743880127619.0,743880127619.0,1029068681147.0,562400000000.0,277211446472.0,277211446472.0
Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),222.420.821.918,222.420.821.918,172.420.821.918,-,50.000.000.000,50.000.000.000,222420821918.0,222420821918.0,172420821918.0,,50000000000.0,50000000000.0
Vay cá nhân (4),Vay cá nhân (4),Vay cá nhân (4),108.978.300.000,108.978.300.000,129.950.109.416,40.210.809.416,19.239.000.000,19.239.000.000,108978300000.0,108978300000.0,129950109416.0,40210809416.0,19239000000.0,19239000000.0
Công ty Cổ phần Đầu tư xây dựng và thương mại Thành Nhân,Công ty Cổ phần Đầu tư xây dựng và thương mại Thành Nhân,Công ty Cổ phần Đầu tư xây dựng và thương mại Thành Nhân,-,-,61.148.000.000,61.148.000.000,-,-,,,61148000000.0,61148000000.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,636.999.224.352,636.999.224.352,78.670.569.124,1.430.049.821.983,1.988.378.477.211,1.988.378.477.211,636999224352.0,636999224352.0,78670569124.0,1430049821983.0,1988378477211.0,1988378477211.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),128.382.808.483,128.382.808.483,61.070.569.124,398.527.978.813,465.840.218.172,465.840.218.172,128382808483.0,128382808483.0,61070569124.0,398527978813.0,465840218172.0,465840218172.0
Trái phiếu (2),Trái phiếu (2),Trái phiếu (2),498.016.415.869,498.016.415.869,,1.024.521.843.170,1.522.538.259.039,1.522.538.259.039,498016415869.0,498016415869.0,,1024521843170.0,1522538259039.0,1522538259039.0
Công ty Cổ phần Tập đoàn Truyền thông BOD (Tên cũ là Công ty Cổ phần Tư vấn và Đầu tư Quốc tế Superior),Công ty Cổ phần Tập đoàn Truyền thông BOD (Tên cũ là Công ty Cổ phần Tư vấn và Đầu tư Quốc tế Superior),Công ty Cổ phần Tập đoàn Truyền thông BOD (Tên cũ là Công ty Cổ phần Tư vấn và Đầu tư Quốc tế Superior),8.600.000.000,8.600.000.000,8.600.000.000,-,-,-,8600000000.0,8600000000.0,8600000000.0,,,
Công ty TNHH Công nghệ và Giải trí We tube,Công ty TNHH Công nghệ và Giải trí We tube,Công ty TNHH Công nghệ và Giải trí We tube,2.000.000.000,2.000.000.000,2.000.000.000,-,-,-,2000000000.0,2000000000.0,2000000000.0,,,
Vay cá nhân,Vay cá nhân,Vay cá nhân,-,-,7.000.000.000,7.000.000.000,-,-,,,7000000000.0,7000000000.0,,
Tổng,Tổng,Tổng,2.465.353.215.794,2.465.353.215.794,2.249.144.373.599,3.101.680.313.750,3.317.889.155.945,3.317.889.155.945,2465353215794.0,2465353215794.0,2249144373599.0,3101680313750.0,3317889155945.0,3317889155945.0
