row_label_raw,row_label_full,31/12/2015,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__TổngVND
Tiền,Tiền,Tiền,37.884.639.212,-,37.884.639.212,37884639212.0,,37884639212.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,,,
và phải thu khác,Phải thu khách hàng > và phải thu khác,và phải thu khác,37.317.691.896,-,37.317.691.896,37317691896.0,,37317691896.0
Đầu tư tài chính ngắn hạn,Phải thu khách hàng > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,65.000.000,-,65.000.000,65000000.0,,65000000.0
Đầu tư tài chính dài hạn,Phải thu khách hàng > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,84.691.750.000,84.691.750.000,,84691750000.0,84691750000.0
Các khoản ký quỹ,Phải thu khách hàng > Các khoản ký quỹ,Các khoản ký quỹ,-,21.217.170.462,21.217.170.462,,21217170462.0,21217170462.0
,,,75.267.331.108,105.908.920.462,181.176.251.570,75267331108.0,105908920462.0,181176251570.0
Các khoản vay,Phải thu khách hàng > Các khoản vay,Các khoản vay,1.189.260.458.896,72.388.000.000,1.261.648.458.896,1189260458896.0,72388000000.0,1261648458896.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,,,,,
và phải trả khác,Phải trả người bán > và phải trả khác,và phải trả khác,211.960.887.900,403.668.000,212.364.555.900,211960887900.0,403668000.0,212364555900.0
Chi phí phải trả,Phải trả người bán > Chi phí phải trả,Chi phí phải trả,5.022.483.042,-,5.022.483.042,5022483042.0,,5022483042.0
,,,1.406.243.829.838,72.791.668.000,1.479.035.497.838,1406243829838.0,72791668000.0,1479035497838.0
Chênh lệch thanh khoản thuần,Phải trả người bán > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(1.330.976.498.730),33.117.252.462,(1.297.859.246.268),-1330976498730.0,33117252462.0,-1297859246268.0
31/12/2014,31/12/2014,31/12/2014,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
Tiền,31/12/2014 > Tiền,Tiền,37.706.071.196,-,37.706.071.196,37706071196.0,,37706071196.0
Phải thu khách hàng,31/12/2014 > Phải thu khách hàng,Phải thu khách hàng,54.854.039.298,-,54.854.039.298,54854039298.0,,54854039298.0
và phải thu khác,và phải thu khác,và phải thu khác,,,,,,
Đầu tư tài chính ngắn hạn,và phải thu khác > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,65.000.000,-,65.000.000,65000000.0,,65000000.0
Đầu tư tài chính dài hạn,và phải thu khác > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,450.342.875.000,450.342.875.000,,450342875000.0,450342875000.0
"Các khoản ký quỹ, ký cược","và phải thu khác > Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược",-,13.588.573.996,13.588.573.996,,13588573996.0,13588573996.0
,,,92.625.110.494,463.931.448.996,556.556.559.490,92625110494.0,463931448996.0,556556559490.0
Các khoản vay,và phải thu khác > Các khoản vay,Các khoản vay,1.131.686.128.041,137.129.000.000,1.268.815.128.041,1131686128041.0,137129000000.0,1268815128041.0
Phải trả người bán,và phải thu khác > Phải trả người bán,Phải trả người bán,164.263.332.685,455.382.100,164.718.714.785,164263332685.0,455382100.0,164718714785.0
và phải trả khác,và phải trả khác,và phải trả khác,,,,,,
Chi phí phải trả,và phải trả khác > Chi phí phải trả,Chi phí phải trả,7.218.467.510,-,7.218.467.510,7218467510.0,,7218467510.0
,,,1.303.167.928.236,137.584.382.100,1.440.752.310.336,1303167928236.0,137584382100.0,1440752310336.0
Chênh lệch thanh khoản thuần,và phải trả khác > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(1.210.542.817.742),326.347.066.896,(884.195.750.846),-1210542817742.0,326347066896.0,-884195750846.0
