row_label_raw,row_label_full,col_0,01/01/2015,Số phải thu/phảinộp trong năm,Số thực thu/ thựcnộp trong năm,31/12/2015,numeric__01/01/2015,numeric__Số phải thu/phảinộp trong năm,numeric__Số thực thu/ thựcnộp trong năm,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
- Thuế giả trị gia tăng,a. Các khoản phải thu > - Thuế giả trị gia tăng,- Thuế giả trị gia tăng,4.525.720.813,(42.238.028.172),38.595.803.733,883.496.374,4525720813.0,-42238028172.0,38595803733.0,883496374.0
- Thuế xuất nhập khẩu,a. Các khoản phải thu > - Thuế xuất nhập khẩu,- Thuế xuất nhập khẩu,53.542.993,(5.228.858.091),5.363.199.865,187.884.767,53542993.0,-5228858091.0,5363199865.0,187884767.0
- Thuế khác,a. Các khoản phải thu > - Thuế khác,- Thuế khác,74.000.000,(3.000.094.965),2.962.910.933,36.815.968,74000000.0,-3000094965.0,2962910933.0,36815968.0
,,,4.653.263.806,(50.466.981.228),46.921.914.531,1.108.197.109,4653263806.0,-50466981228.0,46921914531.0,1108197109.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
- Thuế giả trị gia tăng,b. Các khoản phải trả > - Thuế giả trị gia tăng,- Thuế giả trị gia tăng,12.952.051.210,125.536.247.521,(119.661.326.281),18.826.972.450,12952051210.0,125536247521.0,-119661326281.0,18826972450.0
- Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,32.257.181.576,46.551.388.848,(67.771.689.466),11.036.880.958,32257181576.0,46551388848.0,-67771689466.0,11036880958.0
- Thuế thu nhập cá nhân,b. Các khoản phải trả > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,684.324.858,8.542.584.405,(8.352.024.729),874.884.534,684324858.0,8542584405.0,-8352024729.0,874884534.0
- Các loại thuế khác,b. Các khoản phải trả > - Các loại thuế khác,- Các loại thuế khác,-,523.721.605,(523.721.605),-,,523721605.0,-523721605.0,
,,,45.893.557.644,181.153.942.379,(196.308.762.081),30.738.737.942,45893557644.0,181153942379.0,-196308762081.0,30738737942.0
