row_label_raw,row_label_full,TÀI SẢN,Mã số,Số đã báo cáo tại ngày 31/12/2014,Phân loại lại theo Thông tư 200,Số sau phân loại lại tại 31/12/2014,numeric__Mã số,numeric__Số đã báo cáo tại ngày 31/12/2014,numeric__Phân loại lại theo Thông tư 200,numeric__Số sau phân loại lại tại 31/12/2014
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,2.166.580.633.869,-,2.166.580.633.869,100.0,2166580633869.0,,2166580633869.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,234.599.264.879,(234.599.264.879),-,110.0,234599264879.0,-234599264879.0,
1. Các khoản tương đương tiền,1. Các khoản tương đương tiền,1. Các khoản tương đương tiền,112,234.599.264.879,(234.599.264.879),-,112.0,234599264879.0,-234599264879.0,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,-,65.000.000,65.000.000,120.0,,65000000.0,65000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,-,65.000.000,65.000.000,123.0,,65000000.0,65000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,19.615.577.417,644.633.055,20.260.210.472,130.0,19615577417.0,644633055.0,20260210472.0
1. Các khoản phải thu khác (*),1. Các khoản phải thu khác (*),1. Các khoản phải thu khác (*),136,19.615.577.417,(256.815.230),19.358.762.187,136.0,19615577417.0,-256815230.0,19358762187.0
2. Tài sản thiếu chờ xử lý,2. Tài sản thiếu chờ xử lý,2. Tài sản thiếu chờ xử lý,139,-,901.448.285,901.448.285,139.0,,901448285.0,901448285.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,1.437.415.596.122,234.599.264.879,1.672.014.861.001,140.0,1437415596122.0,234599264879.0,1672014861001.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,1.437.415.596.122,234.599.264.879,1.672.014.861.001,141.0,1437415596122.0,234599264879.0,1672014861001.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,14.233.207.051,(14.233.207.051),-,150.0,14233207051.0,-14233207051.0,
1. Tài sản ngắn hạn khác (*),1. Tài sản ngắn hạn khác (*),1. Tài sản ngắn hạn khác (*),155,14.233.207.051,(14.233.207.051),-,155.0,14233207051.0,-14233207051.0,
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,-,13.588.573.996,13.588.573.996,200.0,,13588573996.0,13588573996.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,-,13.588.573.996,13.588.573.996,210.0,,13588573996.0,13588573996.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,-,13.588.573.996,13.588.573.996,216.0,,13588573996.0,13588573996.0
