row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,285.183.268.988,7.938.687.583,293.121.956.571,285183268988.0,7938687583.0,293121956571.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,2.623.410.000,-,2.623.410.000,2623410000.0,,2623410000.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,287.806.678.988,7.938.687.583,295.745.366.571,287806678988.0,7938687583.0,295745366571.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,-,1.872.278.315,1.872.278.315,,1872278315.0,1872278315.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,-,1.503.132.084,1.503.132.084,,1503132084.0,1503132084.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,-,3.375.410.399,3.375.410.399,,3375410399.0,3375410399.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,287.806.678.988,4.563.277.184,292.369.956.172,287806678988.0,4563277184.0,292369956172.0
Tại ngày 01/01/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,285.183.268.988,6.066.409.268,291.249.678.256,285183268988.0,6066409268.0,291249678256.0
