row_label_raw,row_label_full,col_0,01/01/2015,01/01/2015_1,Trang ritr,Trang ritr_1,31/12/2013,31/12/2013_1,numeric__01/01/2015,numeric__01/01/2015_1,numeric__Trang ritr,numeric__Trang ritr_1,numeric__31/12/2013,numeric__31/12/2013_1
,,,YND,YND,YND,YND,YND,YND,,,,,,
,,,Gut t,S$ c/o hiú nùng tri ng,Ting,Caled,Gut t,S$ c/o hiú nùng tri ng,,,,,,
Ngân hàng Thương mai C$ plán A Chuk,Ngân hàng Thương mai C$ plán A Chuk,Ngân hàng Thương mai C$ plán A Chuk,288.300.000.000,208.300.000.000,218.000.000.000,(418.300.000.000),-,-,288300000000.0,208300000000.0,218000000000.0,-418300000000.0,,
Ngân hàng Thương mai C$ plán C Ring sharing Việt Nam,Ngân hàng Thương mai C$ plán C Ring sharing Việt Nam,Ngân hàng Thương mai C$ plán C Ring sharing Việt Nam,138.453.326.647,128.453.326.647,392.160.577.691,(499.613.904.338),31.000.000.000,31.000.000.000,138453326647.0,128453326647.0,392160577691.0,-499613904338.0,31000000000.0,31000000000.0
Ngân hàng Thương mai C$ plán Ngư sharing Việt Nam,Ngân hàng Thương mai C$ plán Ngư sharing Việt Nam,Ngân hàng Thương mai C$ plán Ngư sharing Việt Nam,122.893.085.681,122.893.085.681,745.451.352.007,(508.396.789.823),279.947.647.855,279.947.647.855,122893085681.0,122893085681.0,745451352007.0,-508396789823.0,279947647855.0,279947647855.0
Ngân hàng Thương mai C$ plán Đòng Nam A,Ngân hàng Thương mai C$ plán Đòng Nam A,Ngân hàng Thương mai C$ plán Đòng Nam A,90.000.000.000,90.000.000.000,458.000.000.000,(440.000.000.000),100.000.000.000,100.000.000.000,90000000000.0,90000000000.0,458000000000.0,-440000000000.0,100000000000.0,100000000000.0
Ngân hàng Thương mai C$ plán Xiang Đào Petroleum,Ngân hàng Thương mai C$ plán Xiang Đào Petroleum,Ngân hàng Thương mai C$ plán Xiang Đào Petroleum,70.000.000.000,70.000.000.000,400.000.000.000,(470.000.000.000),-,-,70000000000.0,70000000000.0,400000000000.0,-470000000000.0,,
Ngân hàng TNHII CTBC - Chi thành Hô Chi Minh,Ngân hàng TNHII CTBC - Chi thành Hô Chi Minh,Ngân hàng TNHII CTBC - Chi thành Hô Chi Minh,63.000.000.000,63.000.000.000,197.669.000.000,(195.000.000.000),65.669.000.000,65.669.000.000,63000000000.0,63000000000.0,197669000000.0,-195000000000.0,65669000000.0,65669000000.0
Ngân hàng TNHII MTV Sudan Việt Nam,Ngân hàng TNHII MTV Sudan Việt Nam,Ngân hàng TNHII MTV Sudan Việt Nam,60.000.000.000,60.000.000.000,240.000.000.000,(240.000.000.000),60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,240000000000.0,-240000000000.0,60000000000.0,60000000000.0
Ngân hàng Thương mai C$ plán Qinhu dải,Ngân hàng Thương mai C$ plán Qinhu dải,Ngân hàng Thương mai C$ plán Qinhu dải,28.393.013.713,28.393.013.713,328.569.131.751,(286.694.637.978),40.267.599.526,40.267.599.526,28393013713.0,28393013713.0,328569131751.0,-286694637978.0,40267599526.0,40267599526.0
Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,Ngân hàng Thương mai C$ plán Phú tràn think phù,,,,,,
Hô Chi Minh,Ngân hàng Thương mai C$ plán Phú tràn think phù > Hô Chi Minh,Hô Chi Minh,15.980.000.000,15.980.000.000,341.460.000.000,(357.368.000.000),-,-,15980000000.0,15980000000.0,341460000000.0,-357368000000.0,,
Ngân hàng Việt Nam Thúh vàng,Ngân hàng Thương mai C$ plán Phú tràn think phù > Ngân hàng Việt Nam Thúh vàng,Ngân hàng Việt Nam Thúh vàng,15.385.000.000,15.385.000.000,88.000.000.000,(95.385.000.000),-,-,15385000000.0,15385000000.0,88000000000.0,-95385000000.0,,
Ngân hàng Thương mai C$ plán Qúc Té,Ngân hàng Thương mai C$ plán Phú tràn think phù > Ngân hàng Thương mai C$ plán Qúc Té,Ngân hàng Thương mai C$ plán Qúc Té,-,-,86.135.607.619,(86.135.607.619),-,-,,,86135607619.0,-86135607619.0,,
Ngân hàng Thương mai C$ plán Việt A,Ngân hàng Thương mai C$ plán Phú tràn think phù > Ngân hàng Thương mai C$ plán Việt A,Ngân hàng Thương mai C$ plán Việt A,-,-,100.000.000.000,(100.000.000.000),-,-,,,100000000000.0,-100000000000.0,,
Ngân hàng ANZ - Chi thành Hô Chi Minh,Ngân hàng Thương mai C$ plán Phú tràn think phù > Ngân hàng ANZ - Chi thành Hô Chi Minh,Ngân hàng ANZ - Chi thành Hô Chi Minh,-,-,165.579.800.000,(165.579.800.000),-,-,,,165579800000.0,-165579800000.0,,
Ngân hàng Thương mai C$ plán Guang Đìng Việt Nam,Ngân hàng Thương mai C$ plán Phú tràn think phù > Ngân hàng Thương mai C$ plán Guang Đìng Việt Nam,Ngân hàng Thương mai C$ plán Guang Đìng Việt Nam,-,-,300.000.000.000,-,300.000.000.000,300.000.000.000,,,300000000000.0,,300000000000.0,300000000000.0
Các cát nás,Ngân hàng Thương mai C$ plán Phú tràn think phù > Các cát nás,Các cát nás,317.316.702.000,317.316.702.000,431.804.201.515,(483.548.602.000),265.572.381.515,265.572.381.515,317316702000.0,317316702000.0,431804201515.0,-483548602000.0,265572381515.0,265572381515.0
Vý đài lún dàn hàn tri (Thayit mark si 22),Ngân hàng Thương mai C$ plán Phú tràn think phù > Vý đài lún dàn hàn tri (Thayit mark si 22),Vý đài lún dàn hàn tri (Thayit mark si 22),10.045.000.000,10.045.000.000,22.516.000.000,(5.757.000.000),26.804.080.000,26.804.080.000,10045000000.0,10045000000.0,22516000000.0,-5757000000.0,26804080000.0,26804080000.0
,,,1.131.686.128.041,1.131.686.128.041,4.489.345.672.583,(4.431.771.341.728),1.189.268.458.896,1.189.268.458.896,1131686128041.0,1131686128041.0,4489345672583.0,-4431771341728.0,1189268458896.0,1189268458896.0
