row_label_raw,row_label_full,col_0,Nhà xưởng vàvật kiến trúcVND,Máy móc vàthiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvăn tàiVND,TổngVND,numeric__Nhà xưởng vàvật kiến trúcVND,numeric__Máy móc vàthiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvăn tàiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,120.558.292.982,116.999.453.354,17.525.413.917,10.437.453.961,265.520.614.214,120558292982.0,116999453354.0,17525413917.0,10437453961.0,265520614214.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,4.888.027.522,34.843.593.288,17.925.929.887,4.543.371.000,62.200.921.697,4888027522.0,34843593288.0,17925929887.0,4543371000.0,62200921697.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,-,(704.949.195),(544.933.636),(1.249.882.831),,,-704949195.0,-544933636.0,-1249882831.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,125.446.320.504,151.843.046.642,34.746.394.609,14.435.891.325,326.471.653.080,125446320504.0,151843046642.0,34746394609.0,14435891325.0,326471653080.0
GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,GIẢ TRỊ HAO MÔN LỦY KẾ,,,,,
Tại ngày 01/01/2015,GIẢ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,16.299.405.457,70.228.330.298,13.423.856.718,5.089.433.742,105.041.026.215,16299405457.0,70228330298.0,13423856718.0,5089433742.0,105041026215.0
Khẩu hao trong năm,GIẢ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,5.306.503.177,15.318.148.789,7.299.515.685,1.023.736.044,28.947.903.695,5306503177.0,15318148789.0,7299515685.0,1023736044.0,28947903695.0
Thanh lý,GIẢ TRỊ HAO MÔN LỦY KẾ > Thanh lý,Thanh lý,-,-,(704.949.195),(544.933.636),(1.249.882.831),,,-704949195.0,-544933636.0,-1249882831.0
Tại ngày 31/12/2015,GIẢ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,21.605.908.634,85.546.479.087,20.018.423.208,5.568.236.150,132.739.047.079,21605908634.0,85546479087.0,20018423208.0,5568236150.0,132739047079.0
GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,GIẢ TRỊ CÔN LẠI,,,,,
Tại ngày 31/12/2015,GIẢ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,103.840.411.870,66.296.567.555,14.727.971.401,8.867.655.175,193.732.606.001,103840411870.0,66296567555.0,14727971401.0,8867655175.0,193732606001.0
Tại ngày 01/01/2015,GIẢ TRỊ CÔN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,104.258.887.525,46.771.123.056,4.101.557.199,5.348.020.219,160.479.587.999,104258887525.0,46771123056.0,4101557199.0,5348020219.0,160479587999.0
