row_label_raw,row_label_full,CHỈ TIỀU,Mã số,2015,2014,numeric__Mã số,numeric__2015,numeric__2014
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,197.323.379.502,335.033.546.883,1.0,197323379502.0,335033546883.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,30.451.035.779,31.011.683.393,2.0,30451035779.0,31011683393.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,292.518.531.341,468.396.300,3.0,292518531341.0,468396300.0
Lỗ chênh lệch tỷ giả hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > Lỗ chênh lệch tỷ giả hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giả hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,286.018.688,,4.0,286018688.0,
Lỗ/(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > Lỗ/(Lãi) từ hoạt động đầu tư,Lỗ/(Lãi) từ hoạt động đầu tư,05,38.178.084.255,(16.087.701.495),5.0,38178084255.0,-16087701495.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,81.048.729.469,79.682.197.799,6.0,81048729469.0,79682197799.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,639.805.779.034,430.108.122.880,8.0,639805779034.0,430108122880.0
Giảm/(Tăng) các khoản phải thu,2. Điều chỉnh cho các khoản: > Giảm/(Tăng) các khoản phải thu,Giảm/(Tăng) các khoản phải thu,09,31.791.940.883,(21.705.446.742),9.0,31791940883.0,-21705446742.0
Tăng hàng tồn kho,2. Điều chỉnh cho các khoản: > Tăng hàng tồn kho,Tăng hàng tồn kho,10,(463.209.702.616),(627.182.836.856),10.0,-463209702616.0,-627182836856.0
Tăng các khoản phải trả,2. Điều chỉnh cho các khoản: > Tăng các khoản phải trả,Tăng các khoản phải trả,11,65.513.478.444,76.335.837.103,11.0,65513478444.0,76335837103.0
Tăng chỉ phí trả trước,2. Điều chỉnh cho các khoản: > Tăng chỉ phí trả trước,Tăng chỉ phí trả trước,12,(31.247.149.599),(6.200.444.610),12.0,-31247149599.0,-6200444610.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(80.553.486.249),(79.682.197.799),14.0,-80553486249.0,-79682197799.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(67.771.689.466),(79.187.348.685),15.0,-67771689466.0,-79187348685.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(20.624.506.660),(45.574.805.295),17.0,-20624506660.0,-45574805295.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,73.704.663.771,(353.089.120.004),20.0,73704663771.0,-353089120004.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
1. Mua tài sản cố định và các tài sản dài hạn khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Mua tài sản cố định và các tài sản dài hạn khác,1. Mua tài sản cố định và các tài sản dài hạn khác,21,(70.364.650.219),(34.530.888.745),21.0,-70364650219.0,-34530888745.0
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán tài sản cố định","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định",22,301.946.364,642.272.726,22.0,301946364.0,642272726.0
"3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,26.152.150.000,9.149.322.084,24.0,26152150000.0,9149322084.0
4. Tiền thu lãi tiền gửi,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu lãi tiền gửi,4. Tiền thu lãi tiền gửi,27,230.025.045,21.718.529.735,27.0,230025045.0,21718529735.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(43.680.528.810),(3.020.764.200),30.0,-43680528810.0,-3020764200.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền vay ngắn hạn, dài hạn nhận được","III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền vay ngắn hạn, dài hạn nhận được","1. Tiền vay ngắn hạn, dài hạn nhận được",33,4.745.829.672.583,6.042.963.679.870,33.0,4745829672583.0,6042963679870.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(4.752.996.341.728),(5.915.061.935.454),34.0,-4752996341728.0,-5915061935454.0
