row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số đã báo cáo năm 2014,Phân loại lại theo Thông tư 200,Số sau phân loại lại năm 2014,numeric__Mã số,numeric__Số đã báo cáo năm 2014,numeric__Phân loại lại theo Thông tư 200,numeric__Số sau phân loại lại năm 2014
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,2.668.838.792,(6.975.054),2.661.863.738,31.0,2668838792.0,-6975054.0,2661863738.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,32,1.586.537.533,(6.975.054),1.579.562.479,32.0,1586537533.0,-6975054.0,1579562479.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,3.208,(1.064),2.144,70.0,3208.0,-1064.0,2144.0
