row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015VND,Giá trị ghi sổ > 31/12/2014VND,numeric__Giá trị ghi sổ > 31/12/2015VND,numeric__Giá trị ghi sổ > 31/12/2014VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền,Tài sản tài chính > Tiền,Tiền,37.884.639.212,37.706.071.196,37884639212.0,37706071196.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,37.317.691.896,54.854.039.298,37317691896.0,54854039298.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,65.000.000,65.000.000,65000000.0,65000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,84.691.750.000,450.342.875.000,84691750000.0,450342875000.0
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,21.217.170.462,13.588.573.996,21217170462.0,13588573996.0
,,,181.176.251.570,556.556.559.490,181176251570.0,556556559490.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,1.261.648.458.896,1.268.815.128.041,1261648458896.0,1268815128041.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,212.364.555.900,164.718.714.785,212364555900.0,164718714785.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,5.022.483.042,7.218.467.510,5022483042.0,7218467510.0
,,,1.479.035.497.838,1.440.752.310.336,1479035497838.0,1440752310336.0
