row_label_raw,row_label_full,Cổ phần – Cổ phần phổ thông,Cổ phần – Cổ phần phổ thông_1,Cổ phần – Cổ phần phổ thông_2,numeric__Cổ phần – Cổ phần phổ thông_1,numeric__Cổ phần – Cổ phần phổ thông_2
,,,31/12/2015,31/12/2014,,
,,,Số cổ phiếu,Số cổ phiếu,,
Số lượng cổ phiếu đã bản ra công chúng,Số lượng cổ phiếu đã bản ra công chúng,Số lượng cổ phiếu đã bản ra công chúng,98.274.577,75.597.035,98274577.0,75597035.0
Cổ phần phổ thông,Cổ phần phổ thông,Cổ phần phổ thông,98.274.577,75.597.035,98274577.0,75597035.0
Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(709),(709),-709.0,-709.0
Cổ phần phổ thông,Cổ phần phổ thông,Cổ phần phổ thông,(709),(709),-709.0,-709.0
Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,98.273.868,75.596.326,98273868.0,75596326.0
Cổ phần phổ thông,Cổ phần phổ thông,Cổ phần phổ thông,98.273.868,75.596.326,98273868.0,75596326.0
