row_label_raw,row_label_full,col_0,Mã số,Số đã báo cáo năm 2014,Phân loại lại theo Thông tư 200,Số sau phân loại lại năm 2014,numeric__Mã số,numeric__Số đã báo cáo năm 2014,numeric__Phân loại lại theo Thông tư 200,numeric__Số sau phân loại lại năm 2014
I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Tăng các khoản phải thu,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Tăng các khoản phải thu,Tăng các khoản phải thu,09,7.375.121.156,(29.080.567.898),(21.705.446.742),9.0,7375121156.0,-29080567898.0,-21705446742.0
Tăng hàng tồn kho,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Tăng hàng tồn kho,Tăng hàng tồn kho,10,(200.616.510.016),(426.566.326.840),(627.182.836.856),10.0,-200616510016.0,-426566326840.0,-627182836856.0
Tiền chi khác cho hoạt động kinh doanh,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(16.901.659.736),(28.673.145.559),(45.574.805.295),17.0,-16901659736.0,-28673145559.0,-45574805295.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(89.466.539.837),(263.622.580.167),(353.089.120.004),20.0,-89466539837.0,-263622580167.0,-353089120004.0
Lưu chuyển tiền thuần trong năm,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,(35.309.851.585),(434.805.822.403),(470.115.673.988),50.0,-35309851585.0,-434805822403.0,-470115673988.0
Tiền đầu năm,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Tiền đầu năm,Tiền đầu năm,60,507.821.745.184,-,507.821.745.184,60.0,507821745184.0,,507821745184.0
Tiền cuối năm,I. LƯU CHUYÊN TIẾN TỪ HOẠT ĐỘNG KINH DOANH > Tiền cuối năm,Tiền cuối năm,70,472.511.893.599,(434.805.822.403),37.706.071.196,70.0,472511893599.0,-434805822403.0,37706071196.0
