row_label_raw,row_label_full,NOI DUNG,TRANG,numeric__TRANG
BẢO CẢO CỦA BAN GIẢM ĐỐC,BẢO CẢO CỦA BAN GIẢM ĐỐC,BẢO CẢO CỦA BAN GIẢM ĐỐC,1 - 2,
BẢO CẢO KIỂM TOÁN ĐỘC LẬP,BẢO CẢO KIỂM TOÁN ĐỘC LẬP,BẢO CẢO KIỂM TOÁN ĐỘC LẬP,3 - 4,
BẢNG CÂN Đ<|box_end|><|ref_start|> KẾ TOÁN HỢP NHẤT,BẢNG CÂN Đ<|box_end|><|ref_start|> KẾ TOÁN HỢP NHẤT,BẢNG CÂN Đ<|box_end|><|ref_start|> KẾ TOÁN HỢP NHẤT,5 - 6,
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢNG CÂN Đ<|box_end|><|ref_start|> KẾ TOÁN HỢP NHẤT > BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,7,7.0
BẢO CẢO LUU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢNG CÂN Đ<|box_end|><|ref_start|> KẾ TOÁN HỢP NHẤT > BẢO CẢO LUU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢO CẢO LUU CHUYÊN TIÊN TỆ HỢP NHẤT,8,8.0
THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT,9 - 35,
