row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thắng dưvốn cổ phần,Cổ phiếu quỹVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sau thưêchưaphân phốiVND,TổngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thắng dưvốn cổ phần,numeric__Cổ phiếu quỹVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sau thưêchưaphân phốiVND,numeric__TổngVND
Số dư tại ngày 31/12/2013,Số dư tại ngày 31/12/2013,Số dư tại ngày 31/12/2013,755.970.350.000,105.021.650.000,(7.090.000),183.705.050.783,273.530.620.443,1.318.220.581.226,755970350000.0,105021650000.0,-7090000.0,183705050783.0,273530620443.0,1318220581226.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,242.495.305.974,242.495.305.974,,,,,242495305974.0,242495305974.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(151.192.652.000),(151.192.652.000),,,,,-151192652000.0,-151192652000.0
Tạm ứng cổ tức đợt 1 năm 2014,Tạm ứng cổ tức đợt 1 năm 2014,Tạm ứng cổ tức đợt 1 năm 2014,-,-,-,-,(90.714.882.200),(90.714.882.200),,,,,-90714882200.0,-90714882200.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,49.100.000.000,(49.100.000.000),-,,,,49100000000.0,-49100000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(22.285.541.431),(22.285.541.431),,,,,-22285541431.0,-22285541431.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,755.970.350.000,105.021.650.000,(7.090.000),232.805.050.783,202.732.850.786,1.296.522.811.569,755970350000.0,105021650000.0,-7090000.0,232805050783.0,202732850786.0,1296522811569.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,226.775.420.000,(105.021.650.000),-,(46.157.440.000),(75.596.330.000),-,226775420000.0,-105021650000.0,,-46157440000.0,-75596330000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,152.302.812.748,152.302.812.748,,,,,152302812748.0,152302812748.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(22.678.897.800),(22.678.897.800),,,,,-22678897800.0,-22678897800.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,33.000.000.000,(33.000.000.000),-,,,,33000000000.0,-33000000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(26.797.181.000),(26.797.181.000),,,,,-26797181000.0,-26797181000.0
Trích quỹ khác,Trích quỹ khác,Trích quỹ khác,-,-,-,-,(5.000.000.000),(5.000.000.000),,,,,-5000000000.0,-5000000000.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,982.745.770.000,-,(7.090.000),219.647.610.783,191.963.254.734,1.394.349.545.517,982745770000.0,,-7090000.0,219647610783.0,191963254734.0,1394349545517.0
