row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2015,31/12/2014,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,2.265.184.856.056,1.817.347.382.578,,100.0,,2265184856056.0,1817347382578.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,,37.884.639.212,37.706.071.196,,110.0,,37884639212.0,37706071196.0
I.,I.,I.,1. Tiền,111,5,37.884.639.212,37.706.071.196,,111.0,5.0,37884639212.0,37706071196.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,65.000.000,65.000.000,,120.0,6.0,65000000.0,65000000.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,65.000.000,65.000.000,,123.0,,65000000.0,65000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,47.171.239.844,71.969.484.744,,130.0,,47171239844.0,71969484744.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,7,29.214.405.782,43.282.823.370,,131.0,7.0,29214405782.0,43282823370.0
III.,III.,III.,2. Trả trước cho người bán ngắn hạn,132,,9.292.551.705,16.213.997.161,,132.0,,9292551705.0,16213997161.0
III.,III.,III.,3. Phải thu ngắn hạn khác,136,8,8.138.613.714,19.358.762.187,,136.0,8.0,8138613714.0,19358762187.0
III.,III.,III.,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(35.327.600),(7.787.546.259),,137.0,,-35327600.0,-7787546259.0
III.,III.,III.,5. Tài sản thiếu chờ xử lý,139,9,560.996.243,901.448.285,,139.0,9.0,560996243.0,901448285.0
IV.,IV.,IV.,Hàng tồn kho,140,10,2.135.224.563.617,1.672.014.861.001,,140.0,10.0,2135224563617.0,1672014861001.0
IV.,IV.,IV.,1. Hàng tồn kho,141,,2.135.224.563.617,1.672.014.861.001,,141.0,,2135224563617.0,1672014861001.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,44.839.413.383,35.591.965.637,,150.0,,44839413383.0,35591965637.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,11,43.731.216.274,27.279.143.455,,151.0,11.0,43731216274.0,27279143455.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,-,3.659.558.376,,152.0,,,3659558376.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,12,1.108.197.109,4.653.263.806,,153.0,12.0,1108197109.0,4653263806.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,710.104.580.011,1.011.324.758.771,,200.0,,710104580011.0,1011324758771.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,21.217.170.462,13.588.573.996,,210.0,,21217170462.0,13588573996.0
I.,I.,I.,1. Phải thu dài hạn khác,216,8,21.217.170.462,13.588.573.996,,216.0,8.0,21217170462.0,13588573996.0
II.,II.,II.,Tài sản cố định,220,,486.102.562.173,451.729.266.255,,220.0,,486102562173.0,451729266255.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,13,193.732.606.001,160.479.587.999,,221.0,13.0,193732606001.0,160479587999.0
II.,II.,II.,- Nguyên giá,222,,326.471.653.080,265.520.614.214,,222.0,,326471653080.0,265520614214.0
II.,II.,II.,- Giá trị hao món lũy kế,223,,(132.739.047.079),(105.041.026.215),,223.0,,-132739047079.0,-105041026215.0
II.,II.,II.,2. Tài sản cố định vô hình,227,14,292.369.956.172,291.249.678.256,,227.0,14.0,292369956172.0,291249678256.0
II.,II.,II.,- Nguyên giá,228,,295.745.366.571,293.121.956.571,,228.0,,295745366571.0,293121956571.0
II.,II.,II.,- Giá trị hao món lũy kế,229,,(3.375.410.399),(1.872.278.315),,229.0,,-3375410399.0,-1872278315.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,6.279.408.722,739.090.200,,240.0,,6279408722.0,739090200.0
III.,III.,III.,1. Chỉ phí xây dựng cơ bản dở dang,242,15,6.279.408.722,739.090.200,,242.0,15.0,6279408722.0,739090200.0
IV.,IV.,IV.,Các khoản đầu tư tài chính dài hạn,250,,166.666.261.924,531.799.217.588,,250.0,,166666261924.0,531799217588.0
IV.,IV.,IV.,1. Đầu tư vào công ty liên kết,252,16,81.974.511.924,81.456.342.588,,252.0,16.0,81974511924.0,81456342588.0
IV.,IV.,IV.,2. Đầu tư góp vốn vào đơn vị khác,253,17,395.271.613.400,460.651.988.400,,253.0,17.0,395271613400.0,460651988400.0
IV.,IV.,IV.,3. Dự phòng đầu tư tài chính dài hạn,254,6,(310.579.863.400),(10.309.113.400),,254.0,6.0,-310579863400.0,-10309113400.0
V.,V.,V.,Tài sản dài hạn khác,260,,29.839.176.730,13.468.610.732,,260.0,,29839176730.0,13468610732.0
V.,V.,V.,1. Chỉ phí trả trước dài hạn,261,11,27.342.224.660,12.547.147.880,,261.0,11.0,27342224660.0,12547147880.0
V.,V.,V.,2. Tài sản thuê thu nhập hoãn lại,262,18,2.496.952.070,921.462.852,,262.0,18.0,2496952070.0,921462852.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,2.975.289.436.067,2.828.672.141.349,,270.0,,2975289436067.0,2828672141349.0
