row_label_raw,row_label_full,col_0,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,1.133.162.470,951.130.994,1133162470.0,951130994.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,4.083.359,3.497.833,4083359.0,3497833.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,414.767,737.811,414767.0,737811.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,782.370,965.987,782370.0,965987.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,6.623.284,4.417.330,6623284.0,4417330.0
,,,1.145.066.250,960.749.955,1145066250.0,960749955.0
Phân tích dư nợ theo thời hạn cho vay như sau:,Phân tích dư nợ theo thời hạn cho vay như sau:,Phân tích dư nợ theo thời hạn cho vay như sau:,Phân tích dư nợ theo thời hạn cho vay như sau:,Phân tích dư nợ theo thời hạn cho vay như sau:,,
,,,31/12/2022Triệu VND,31/12/2021Triệu VND,,
Nợ ngắn hạn,Phân tích dư nợ theo thời hạn cho vay như sau: > Nợ ngắn hạn,Nợ ngắn hạn,651.421.776,508.285.894,651421776.0,508285894.0
Nợ trung hạn,Phân tích dư nợ theo thời hạn cho vay như sau: > Nợ trung hạn,Nợ trung hạn,41.726.956,40.535.854,41726956.0,40535854.0
Nợ dài hạn,Phân tích dư nợ theo thời hạn cho vay như sau: > Nợ dài hạn,Nợ dài hạn,451.917.518,411.928.207,451917518.0,411928207.0
,,,1.145.066.250,960.749.955,1145066250.0,960749955.0
Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,,
,,,31/12/2022Triệu VND,31/12/2021Triệu VND,,
Doanh nghiệp nhà nước,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,63.930.380,60.146.527,63930380.0,60146527.0
Công ty trách nhiệm hữu hạn,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Công ty trách nhiệm hữu hạn,Công ty trách nhiệm hữu hạn,203.088.337,169.542.086,203088337.0,169542086.0
Doanh nghiệp có vốn đầu tư nước ngoài,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,85.943.755,66.611.876,85943755.0,66611876.0
Hợp tác xã và công ty tư nhân,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Hợp tác xã và công ty tư nhân,Hợp tác xã và công ty tư nhân,2.289.294,2.819.975,2289294.0,2819975.0
Cá nhân và hộ kinh doanh cá thể,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Cá nhân và hộ kinh doanh cá thể,Cá nhân và hộ kinh doanh cá thể,540.349.776,448.102.945,540349776.0,448102945.0
Khác,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Khác,Khác,249.464.708,213.526.546,249464708.0,213526546.0
,,,1.145.066.250,960.749.955,1145066250.0,960749955.0
