row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2022:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,194.231.573(141.618.712),473.911(223.332),591.529(231.413),61.898(29.014),(107.246.211)107.236.249,88.112.700(34.866.222),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,194.231.573(141.618.712),473.911(223.332),591.529(231.413),61.898(29.014),(107.246.211)107.236.249,88.112.700(34.866.222),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,52.612.861,250.579,360.116,32.884,(9.962),53.246.478,,52612861.0,250579.0,360116.0,32884.0,-9962.0,53246478.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,12.642.080,9.235,462.359,273.054,(961.721),12.425.007,,12642080.0,9235.0,462359.0,273054.0,-961721.0,12425007.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(6.234.218),(1.606),(94.112),(75.292),819.321,(5.585.907),,-6234218.0,-1606.0,-94112.0,-75292.0,819321.0,-5585907.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,6.407.862,7.629,368.247,197.762,(142.400),6.839.100,,6407862.0,7629.0,368247.0,197762.0,-142400.0,6839100.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,5.761.004,7.441,-,-,-,5.768.445,,5761004.0,7441.0,,,,5768445.0
IV,2 > IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,(164.587),-,52.307,-,(2.914),(115.194),,-164587.0,,52307.0,,-2914.0,-115194.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán đầu tư,81.209,-,386,-,-,81.595,,81209.0,,386.0,,,81595.0
5,2 > 5,5,Thu nhập từ hoạt động khác,2.896.517,10.980,19.928,914,-,2.928.339,,2896517.0,10980.0,19928.0,914.0,,2928339.0
6,2 > 6,6,Chi phí hoạt động khác,(799.091),-,(75.283),(4),-,(874.378),,-799091.0,,-75283.0,-4.0,,-874378.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,2.097.426,10.980,(55.355),910,-,2.053.961,,2097426.0,10980.0,-55355.0,910.0,,2053961.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",195.542,-,12.894,-,-,208.436,,195542.0,,12894.0,,,208436.0
,,,Tổng thu nhập hoạt động,66.991.317,276.629,738.595,231.556,(155.276),68.082.821,,66991317.0,276629.0,738595.0,231556.0,-155276.0,68082821.0
VIII,2 > VIII,VIII,Chi phí hoạt động,(20.830.216),(139.317),(293.466),(129.876),142.363,(21.250.512),,-20830216.0,-139317.0,-293466.0,-129876.0,142363.0,-21250512.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,46.161.101,137.312,445.129,101.680,(12.913),46.832.309,,46161101.0,137312.0,445129.0,101680.0,-12913.0,46832309.0
X,2 > X,X,Chi phí dự phòng rủi ro tín dụng,(9.464.489),271,-,-,-,(9.464.218),,-9464489.0,271.0,,,,-9464218.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,36.696.612,137.583,445.129,101.680,(12.913),37.368.091,,36696612.0,137583.0,445129.0,101680.0,-12913.0,37368091.0
7,2 > 7,7,Chi phí thuế TNDN hiện hành,(8.268.082),(26.974),(94.625),(17.179),-,(8.406.860),,-8268082.0,-26974.0,-94625.0,-17179.0,,-8406860.0
8,2 > 8,8,Chi phí thuế TNDN hoãn lại,949.616,-,8.207,-,-,957.823,,949616.0,,8207.0,,,957823.0
XII,2 > XII,XII,Chi phí thuế TNDN,(7.318.466),(26.974),(86.418),(17.179),-,(7.449.037),,-7318466.0,-26974.0,-86418.0,-17179.0,,-7449037.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,29.378.146,110.609,358.711,84.501,(12.913),29.919.054,,29378146.0,110609.0,358711.0,84501.0,-12913.0,29919054.0
