row_label_raw,row_label_full,Ngân hàng Nhà nước Việt Nam,Mối liên quan > Đại diệnchủ sở hữu,31/12/2022Triệu VNDPhải thu/(phải trả),31/12/2021Triệu VND,numeric__Mối liên quan > Đại diệnchủ sở hữu,numeric__31/12/2022Triệu VNDPhải thu/(phải trả),numeric__31/12/2021Triệu VND
Tiền gửi của Vietcombank tại NHNNVN,Tiền gửi của Vietcombank tại NHNNVN,Tiền gửi của Vietcombank tại NHNNVN,,92.451.066,22.311.693,,92451066.0,22311693.0
Tiền gửi và tiền vay của NHNNVNTại Vietcombank,Tiền gửi và tiền vay của NHNNVNTại Vietcombank,Tiền gửi và tiền vay của NHNNVNTại Vietcombank,,(17.766.716),(1.773.842),,-17766716.0,-1773842.0
Bộ Tài chính,Bộ Tài chính,Bộ Tài chính,Bên liên quancủa chủ sở hữu,,,,,
Tiền gửi tại Ngân hàng,Bộ Tài chính > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(49.548.100),(7.694.274),,-49548100.0,-7694274.0
Vay Bộ Tài chính,Bộ Tài chính > Vay Bộ Tài chính,Vay Bộ Tài chính,,(707.141),(806.617),,-707141.0,-806617.0
"Mizuho Bank Ltd., Nhật Bản","Mizuho Bank Ltd., Nhật Bản","Mizuho Bank Ltd., Nhật Bản",Cổ đôngchiến lược,,,,,
"Tiền gửi của Ngân hàng tại Mizuho BankLtd., Nhật Bản","Mizuho Bank Ltd., Nhật Bản > Tiền gửi của Ngân hàng tại Mizuho BankLtd., Nhật Bản","Tiền gửi của Ngân hàng tại Mizuho BankLtd., Nhật Bản",,5.743.851,1.910.189,,5743851.0,1910189.0
"Tiền gửi của Mizuho Bank Ltd., Nhật Bântại Ngân hàng","Mizuho Bank Ltd., Nhật Bản > Tiền gửi của Mizuho Bank Ltd., Nhật Bântại Ngân hàng","Tiền gửi của Mizuho Bank Ltd., Nhật Bântại Ngân hàng",,(2.018.199),(694.909),,-2018199.0,-694909.0
