row_label_raw,row_label_full,col_0,31/12/2021Triệu VND(trình bày lại),31/12/2021Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2021Triệu VND(trình bày lại),numeric__31/12/2021Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,225.811.765,225.764.546,47.219,225811765.0,225764546.0,47219.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,181.036.981,181.036.981,-,181036981.0,181036981.0,
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,48.727.565,48.727.565,-,48727565.0,48727565.0,
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(3.952.781),(4.000.000),47.219,-3952781.0,-4000000.0,47219.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.799.649,2.766.098,33.551,2799649.0,2766098.0,33551.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.856.082,2.822.531,33.551,2856082.0,2822531.0,33551.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,(56.433),(56.433),-,-56433.0,-56433.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,935.009.671,934.774.287,235.384,935009671.0,934774287.0,235384.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,960.749.955,960.749.955,-,960749955.0,960749955.0,
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(25.740.284),(25.975.668),235.384,-25740284.0,-25975668.0,235384.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,170.596.896,170.604.700,(7.804),170596896.0,170604700.0,-7804.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,71.114.698,71.122.502,(7.804),71114698.0,71122502.0,-7804.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,99.657.595,99.657.595,-,99657595.0,99657595.0,
Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,(175.397),(175.397),-,-175397.0,-175397.0,
Tài sản cố định,Tài sản cố định,Tài sản cố định,8.636.306,8.626.043,10.263,8636306.0,8626043.0,10263.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.562.887,5.552.624,10.263,5562887.0,5552624.0,10263.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,13.736.855,13.725.160,11.695,13736855.0,13725160.0,11695.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(8.173.968),(8.172.536),(1.432),-8173968.0,-8172536.0,-1432.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,28.964.117,28.969.058,(4.941),28964117.0,28969058.0,-4941.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,15.803.945,15.796.141,7.804,15803945.0,15796141.0,7804.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",7.147.524,7.149.313,(1.789),7147524.0,7149313.0,-1789.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,349,7.137,(6.788),349.0,7137.0,-6788.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,6.016.319,6.020.487,(4.168),6016319.0,6020487.0,-4168.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác (*),Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác (*),Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác (*),(4.020),(4.020),-,-4020.0,-4020.0,
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,313.672,,,313672.0
