row_label_raw,row_label_full,col_0,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,2.590.521,1.680.794,2590521.0,1680794.0
Các khoản phải thu bên ngoài (i),Các khoản phải thu bên ngoài (i),Các khoản phải thu bên ngoài (i),21.892.885,14.123.151,21892885.0,14123151.0
,,,24.483.406,15.803.945,24483406.0,15803945.0
(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,(i) Các khoản phải thu bên ngoài,,
,,,31/12/2022Triệu VND,31/12/2021Triệu VND,,
Tạm ứng mua sắm tài sản cố định,(i) Các khoản phải thu bên ngoài > Tạm ứng mua sắm tài sản cố định,Tạm ứng mua sắm tài sản cố định,874.302,1.155.796,874302.0,1155796.0
Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,(i) Các khoản phải thu bên ngoài > Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,271.746,338.989,271746.0,338989.0
Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 37),(i) Các khoản phải thu bên ngoài > Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 37),Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 37),45.670,307,45670.0,307.0
Thuế giá trị gia tăng được khấu trừ (Thuyết minh 37),(i) Các khoản phải thu bên ngoài > Thuế giá trị gia tăng được khấu trừ (Thuyết minh 37),Thuế giá trị gia tăng được khấu trừ (Thuyết minh 37),10.789,12.360,10789.0,12360.0
Tạm ứng thuế khác (Thuyết minh 37),(i) Các khoản phải thu bên ngoài > Tạm ứng thuế khác (Thuyết minh 37),Tạm ứng thuế khác (Thuyết minh 37),2,2,2.0,2.0
Chi phí xây dựng cơ bản dở dang (*),(i) Các khoản phải thu bên ngoài > Chi phí xây dựng cơ bản dở dang (*),Chi phí xây dựng cơ bản dở dang (*),241.910,314.690,241910.0,314690.0
Phải thu trong thanh toán L/C được thanh toán trước hạn,(i) Các khoản phải thu bên ngoài > Phải thu trong thanh toán L/C được thanh toán trước hạn,Phải thu trong thanh toán L/C được thanh toán trước hạn,17.041.450,8.805.446,17041450.0,8805446.0
Các khoản phải thu khác,(i) Các khoản phải thu bên ngoài > Các khoản phải thu khác,Các khoản phải thu khác,3.407.016,3.495.561,3407016.0,3495561.0
,,,21.892.885,14.123.151,21892885.0,14123151.0
