row_label_raw,row_label_full,Các chỉ tiêu ngoài Báo cáo tình hình tài chính,31/12/2021Triệu VNĐ(trình bày lại theoThông tư 27 và điều chỉnh theo KTNN) > Các chỉ tiêu ngoài Báo cáo tình hình tài chính,31/12/2021Triệu VNĐ(đã công bố) > Các chỉ tiêu ngoài Báo cáo tình hình tài chính,Nguyên nhân > Các chỉ tiêu ngoài Báo cáo tình hình tài chính,numeric__31/12/2021Triệu VNĐ(trình bày lại theoThông tư 27 và điều chỉnh theo KTNN) > Các chỉ tiêu ngoài Báo cáo tình hình tài chính,numeric__31/12/2021Triệu VNĐ(đã công bố) > Các chỉ tiêu ngoài Báo cáo tình hình tài chính,numeric__Nguyên nhân > Các chỉ tiêu ngoài Báo cáo tình hình tài chính
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,2.317.333,Không trình bày,Trình bày bố,2317333.0,,
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,55.457.529,Không trình bày,sung theo,55457529.0,,
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,349.305.079,Không trình bày,Thông tư 27,349305079.0,,
