row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
I,Tài sản > I,I,"Tiền mặt, vàng bạc, đá quý",-,18.348.534,-,-,-,-,-,-,18.348.534,,,18348534.0,,,,,,,18348534.0
II,Tài sản > II,II,Tiền gửi tại NHNN,-,-,92.557.809,-,-,-,-,-,92.557.809,,,,92557809.0,,,,,,92557809.0
III,Tài sản > III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,13.150,281.812.168,25.430.230,13.202.981,4.018.915,-,-,324.477.444,,,13150.0,281812168.0,25430230.0,13202981.0,4018915.0,,,324477444.0
IV,Tài sản > IV,IV,Chứng khoán kinh doanh – gộp,-,146.108,1.397.467,-,-,-,-,-,1.543.575,,,146108.0,1397467.0,,,,,,1543575.0
V,Tài sản > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,156.515,-,-,-,-,-,-,156.515,,,156515.0,,,,,,,156515.0
VI,Tài sản > VI,VI,Cho vay khách hàng – gộp,19.037.969,-,215.577.212,392.329.073,346.304.304,81.161.689,87.530.802,3.125.201,1.145.066.250,,19037969.0,,215577212.0,392329073.0,346304304.0,81161689.0,87530802.0,3125201.0,1145066250.0
VII,Tài sản > VII,VII,Chứng khoán đầu tư – gộp,-,-,32.268.369,20.984.364,17.028.782,17.478.351,78.252.955,30.240.225,196.253.046,,,,32268369.0,20984364.0,17028782.0,17478351.0,78252955.0,30240225.0,196253046.0
VIII,Tài sản > VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,2.311.534,-,-,-,-,-,-,2.311.534,,,2311534.0,,,,,,,2311534.0
IX,Tài sản > IX,IX,Tài sản cố định,-,7.985.400,-,-,-,-,-,-,7.985.400,,,7985400.0,,,,,,,7985400.0
X,Tài sản > X,X,Tài sản Có khác – gộp,-,60.990.421,-,-,-,-,-,-,60.990.421,,,60990421.0,,,,,,,60990421.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,Tổng tài sản,19.037.969,89.951.662,623.613.025,438.743.667,376.536.067,102.658.955,165.783.757,33.365.426,1.849.690.528,,19037969.0,89951662.0,623613025.0,438743667.0,376536067.0,102658955.0,165783757.0,33365426.0,1849690528.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
I,Nợ phải trả > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,281.551.209,11.942.445,6.307.800,24.212,-,-,299.825.666,,,,281551209.0,11942445.0,6307800.0,24212.0,,,299825666.0
II,Nợ phải trả > II,II,Tiền gửi của khách hàng,-,125.370,677.536.375,162.631.235,165.568.831,216.316.746,21.274.574,15.340,1.243.468.471,,,125370.0,677536375.0,162631235.0,165568831.0,216316746.0,21274574.0,15340.0,1243468471.0
IV,Nợ phải trả > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,1.473,-,1.825,-,3.298,,,,,,1473.0,,1825.0,,3298.0
V,Nợ phải trả > V,V,Phát hành giấy tờ có giá,-,-,905,11.000.000,3.000.000,5.282.869,4.180.000,1.874.120,25.337.894,,,,905.0,11000000.0,3000000.0,5282869.0,4180000.0,1874120.0,25337894.0
VI,Nợ phải trả > VI,VI,Các khoản nợ phải trả khác,-,108.826.615,-,707.141,-,-,-,-,109.533.756,,,108826615.0,,707141.0,,,,,109533756.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,-,108.951.985,959.088.489,186.280.821,174.878.104,221.623.827,25.456.399,1.889.460,1.678.169.085,,,108951985.0,959088489.0,186280821.0,174878104.0,221623827.0,25456399.0,1889460.0,1678169085.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,19.037.969,(19.000.323),(335.475.464),252.462.846,201.657.963,(118.964.872),140.327.358,31.475.966,171.521.443,,19037969.0,-19000323.0,-335475464.0,252462846.0,201657963.0,-118964872.0,140327358.0,31475966.0,171521443.0
