row_label_raw,row_label_full,STT,Chỉ tiêu,2022Triệu VND,2021Triệu VND,numeric__Chỉ tiêu,numeric__2022Triệu VND,numeric__2021Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(711.567),(1.621.433),,-711567.0,-1621433.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",15.753,8.456,,15753.0,8456.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(4.808),(1.201),,-4808.0,-1201.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",-,(83.502),,,-83502.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",201.899,13.791,,201899.0,13791.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",106.555,93.953,,106555.0,93953.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(392.168),(1.589.936),,-392168.0,-1589936.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
03,03,03,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",(3.348.022),(1.886.298),,-3348022.0,-1886298.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(3.348.022),(1.886.298),,-3348022.0,-1886298.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,179.681.299,(60.028.707),,179681299.0,-60028707.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,232.553.995,292.582.702,,232553995.0,292582702.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 35),412.235.294,232.553.995,,412235294.0,232553995.0
