row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,18.348.534,18.011.766,,4.0,18348534.0,18011766.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,92.557.809,22.506.711,,5.0,92557809.0,22506711.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,313.637.444,225.811.765,,6.0,313637444.0,225811765.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,283.727.719,181.036.981,,,283727719.0,181036981.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,40.749.725,48.727.565,,,40749725.0,48727565.0
3,A > 3,3,Dự phòng rủi ro,,(10.840.000),(3.952.781),,,-10840000.0,-3952781.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,1.499.687,2.799.649,,7.0,1499687.0,2799649.0
1,A > 1,1,Chứng khoán kinh doanh,,1.543.575,2.856.082,,,1543575.0,2856082.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(43.888),(56.433),,,-43888.0,-56433.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,156.515,303.202,,8.0,156515.0,303202.0
VI,A > VI,VI,Cho vay khách hàng,,1.120.286.832,935.009.671,,,1120286832.0,935009671.0
1,A > 1,1,Cho vay khách hàng,9,1.145.066.250,960.749.955,,9.0,1145066250.0,960749955.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(24.779.418),(25.740.284),,10.0,-24779418.0,-25740284.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,196.171.213,170.596.896,,11.0,196171213.0,170596896.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,100.739.670,71.114.698,,,100739670.0,71114698.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,95.513.376,99.657.595,,,95513376.0,99657595.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(81.833),(175.397),,,-81833.0,-175397.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,2.193.535,2.346.176,,,2193535.0,2346176.0
2,A > 2,2,Vốn góp liên doanh,12(a),771.075,748.895,,,771075.0,748895.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(b),11.314,10.820,,,11314.0,10820.0
4,A > 4,4,Đầu tư dài hạn khác,12(c),1.529.145,1.661.461,,,1529145.0,1661461.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(d),(117.999),(75.000),,,-117999.0,-75000.0
X,A > X,X,Tài sản cố định,,7.985.400,8.636.306,,,7985400.0,8636306.0
1,A > 1,1,Tài sản cố định hữu hình,13,5.170.083,5.562.887,,13.0,5170083.0,5562887.0
a,A > a,a,Nguyên giá tài sản cố định,,13.950.174,13.736.855,,,13950174.0,13736855.0
b,A > b,b,Hao mòn tài sản cố định,,(8.780.091),(8.173.968),,,-8780091.0,-8173968.0
3,A > 3,3,Tài sản cố định vô hình,14,2.815.317,3.073.419,,14.0,2815317.0,3073419.0
a,A > a,a,Nguyên giá tài sản cố định,,4.789.089,4.622.229,,,4789089.0,4622229.0
b,A > b,b,Hao mòn tài sản cố định,,(1.973.772),(1.548.810),,,-1973772.0,-1548810.0
XII,A > XII,XII,Tài sản Có khác,,60.978.201,28.964.117,,,60978201.0,28964117.0
1,A > 1,1,Các khoản phải thu,15(a),24.483.406,15.803.945,,,24483406.0,15803945.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),9.209.121,7.147.524,,,9209121.0,7147524.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),958.065,349,,,958065.0,349.0
4,A > 4,4,Tài sản Có khác,15(d),26.339.829,6.016.319,,,26339829.0,6016319.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,15(d),(12.220),(4.020),,,-12220.0,-4020.0
,,,TỔNG TÀI SẢN CÓ,,1.813.815.170,1.414.986.259,,,1813815170.0,1414986259.0
