row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Tổng cộng,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2022 (trình bày lại),Số dư tại ngày 1/1/2022 (trình bày lại),Số dư tại ngày 1/1/2022 (trình bày lại),37.088.774,4.995.389,344.658,6.052.831,12.049.576,70.661,18.173.068,(5.109),48.502.536,87.113,109.186.429,37088774.0,4995389.0,344658.0,6052831.0,12049576.0,70661.0,18173068.0,-5109.0,48502536.0,87113.0,109186429.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,29.899.014,20.040,29.919.054,,,,,,,,,29899014.0,20040.0,29919054.0
Tăng vốn trong kỳ,Tăng vốn trong kỳ,Tăng vốn trong kỳ,10.236.392,-,-,-,-,-,-,-,(10.236.392),-,-,10236392.0,,,,,,,,-10236392.0,,
Tăng vốn của công ty con,Tăng vốn của công ty con,Tăng vốn của công ty con,-,-,465.179,(21.265),-,(30.762),(52.027),-,(413.152),-,-,,,465179.0,-21265.0,,-30762.0,-52027.0,,-413152.0,,
Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2022 của Ngân hàng,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2022 của Ngân hàng,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2022 của Ngân hàng,-,-,-,1.469.350,2.938.701,-,4.408.051,-,(4.408.051),-,-,,,,1469350.0,2938701.0,,4408051.0,,-4408051.0,,
"Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2022 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2022 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2022 của Ngân hàng",-,-,-,-,-,-,-,-,(2.336.696),-,(2.336.696),,,,,,,,,-2336696.0,,-2336696.0
Điều chính trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,Điều chính trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,Điều chính trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông Ngân hàng,-,-,-,3.614,7.227,-,10.841,-,(199.508),-,(188.667),,,,3614.0,7227.0,,10841.0,,-199508.0,,-188667.0
Trích quỹ của các công ty con,Trích quỹ của các công ty con,Trích quỹ của các công ty con,-,-,-,5.289,10.578,-,15.867,-,(28.271),-,(12.404),,,,5289.0,10578.0,,15867.0,,-28271.0,,-12404.0
Điều chính theo Nghị quyết của Công ty con,Điều chính theo Nghị quyết của Công ty con,Điều chính theo Nghị quyết của Công ty con,-,-,-,(315),2.612,-,2.297,-,(48.106),(661),(46.470),,,,-315.0,2612.0,,2297.0,,-48106.0,-661.0,-46470.0
Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,-,-,-,-,-,-,-,-,-,(18.798),(18.798),,,,,,,,,,-18798.0,-18798.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(1.139),-,(1.139),-,-,-,(1.139),,,,,-1139.0,,-1139.0,,,,-1139.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,(857.962),-,689,(857.273),,,,,,,,-857962.0,,689.0,-857273.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Biến động khác,Chênh lệch đánh giá lại tài sản > Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,986,-,986,,,,,,,,,986.0,,986.0
"Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Chênh lệch đánh giá lại tài sản > Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,1.063,-,1.063,,,,,,,,,1063.0,,1063.0
Số dư tại ngày 31/12/2022,Chênh lệch đánh giá lại tài sản > Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,47.325.166,4.995.389,809.837,7.509.504,15.007.555,39.899,22.556.958,(863.071),60.733.423,88.383,135.646.085,47325166.0,4995389.0,809837.0,7509504.0,15007555.0,39899.0,22556958.0,-863071.0,60733423.0,88383.0,135646085.0
