row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,16,67.314.816,9.468.116,,16.0,67314816.0,9468116.0
1,B > 1,1,Tiền gửi và vay Chính phủ và NHNN,,67.314.816,9.468.116,,,67314816.0,9468116.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,232.510.850,109.757.777,,17.0,232510850.0,109757777.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,222.040.585,104.043.817,,,222040585.0,104043817.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,10.470.265,5.713.960,,,10470265.0,5713960.0
III,B > III,III,Tiền gửi của khách hàng,18,1.243.468.471,1.135.323.913,,18.0,1243468471.0,1135323913.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,3.298,7.707,,19.0,3298.0,7707.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,25.337.894,17.387.747,,20.0,25337894.0,17387747.0
VII,B > VII,VII,Các khoản nợ khác,,109.533.756,33.854.570,,,109533756.0,33854570.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),12.485.332,9.326.371,,,12485332.0,9326371.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),97.048.424,24.528.199,,,97048424.0,24528199.0
,,,TỔNG NỘ PHẢI TRẢ,,1.678.169.085,1.305.799.830,,,1678169085.0,1305799830.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,53.130.392,42.428.821,,,53130392.0,42428821.0
a,VIII > a,a,Vốn điều lệ,,47.325.166,37.088.774,,,47325166.0,37088774.0
c,VIII > c,c,Thặng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,VIII > g,g,Vốn khác,,809.837,344.658,,,809837.0,344658.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,22.556.958,18.173.068,,,22556958.0,18173068.0
3,VIII > 3,3,Chênh lệch tỷ giá hối đoái,,(863.071),(5.109),,,-863071.0,-5109.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,60.733.423,48.502.536,,,60733423.0,48502536.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,37.607.427,31.826.451,,,37607427.0,31826451.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,23.125.996,16.676.085,,,23125996.0,16676085.0
6,VIII > 6,6,Lợi ích của cổ đông không kiểm soát,,88.383,87.113,,,88383.0,87113.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),135.646.085,109.186.429,,,135646085.0,109186429.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.813.815.170,1.414.986.259,,,1813815170.0,1414986259.0
