row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,92.557.809,-,-,92.557.809,92557809.0,,,92557809.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,313.477.444,-,11.000.000,324.477.444,313477444.0,,11000000.0,324477444.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,283.727.719,-,-,283.727.719,283727719.0,,,283727719.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,29.749.725,-,11.000.000,40.749.725,29749725.0,,11000000.0,40749725.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,1.397.467,-,-,1.397.467,1397467.0,,,1397467.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.112.933.704,11.675.599,20.456.947,1.145.066.250,1112933704.0,11675599.0,20456947.0,1145066250.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,196.253.046,-,-,196.253.046,196253046.0,,,196253046.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,100.739.670,-,-,100.739.670,100739670.0,,,100739670.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,95.513.376,-,-,95.513.376,95513376.0,,,95513376.0
Tài sân Có khác,Tài sân Có khác,Tài sân Có khác,32.980.082,-,12.220,32.992.302,32980082.0,,12220.0,32992302.0
,,,1.749.599.552,11.675.599,31.469.167,1.792.744.318,1749599552.0,11675599.0,31469167.0,1792744318.0
