row_label_raw,row_label_full,col_0,2022Triệu VND,2021Triệu VND(trình bày lại),numeric__2022Triệu VND,numeric__2021Triệu VND(trình bày lại)
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",356.671,342.894,356671.0,342894.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,10.704.534,9.586.008,10704534.0,9586008.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Chi lương và phụ cấp (Thuyết minh 36),Trong đó: > - Chi lương và phụ cấp (Thuyết minh 36),- Chi lương và phụ cấp (Thuyết minh 36),9.564.154,8.499.318,9564154.0,8499318.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,754.534,719.808,754534.0,719808.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,6.381,5.882,6381.0,5882.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,4.017.315,3.463.858,4017315.0,3463858.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Khẩu hao tài sản cố định,Trong đó: > - Khẩu hao tài sản cố định,- Khẩu hao tài sản cố định,1.345.198,1.413.738,1345198.0,1413738.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,5.226.349,3.490.020,5226349.0,3490020.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",802.452,711.257,802452.0,711257.0
Chi dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d)),Trong đó: > Chi dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d)),Chi dự phòng giảm giá đầu tư dài hạn (Thuyết minh 12(d)),42.999,-,42999.0,
Chi phí hoạt động khác,Trong đó: > Chi phí hoạt động khác,Chi phí hoạt động khác,100.192,71.888,100192.0,71888.0
,,,21.250.512,17.665.925,21250512.0,17665925.0
