row_label_raw,row_label_full,STT,Chỉ tiêu > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,Thuyết minh > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,31/12/2022 Triệu VND > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,31/12/2021 Triệu VND(trình bày lại) > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__Chỉ tiêu > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__Thuyết minh > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__31/12/2022 Triệu VND > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH,numeric__31/12/2021 Triệu VND(trình bày lại) > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH
1,1,1,Bảo lãnh vay vốn,,2.151.637,2.447.477,,,2151637.0,2447477.0
2,2,2,Cam kết giao dịch hồi đoái,,83.320.732,81.044.022,,,83320732.0,81044022.0
,,,Cam kết mua ngoại tệ,,1.027.038,3.470.214,,,1027038.0,3470214.0
,,,Cam kết bán ngoại tệ,,1.028.925,3.466.305,,,1028925.0,3466305.0
,,,Cam kết giao dịch hoán đôi,,81.264.769,74.107.503,,,81264769.0,74107503.0
3,3,3,Cam kết trong nghiệp vụ thư tín dụng,,84.748.838,65.378.199,,,84748838.0,65378199.0
4,4,4,Bảo lãnh khác,,48.477.552,51.543.638,,,48477552.0,51543638.0
5,5,5,Các cam kết khác,,35.760.608,11.586.990,,,35760608.0,11586990.0
6,6,6,Lãi cho vay và phí phải thu chưa thu được,46,1.301.468,2.317.333,,46.0,1301468.0,2317333.0
7,7,7,Nợ khó đòi đã xử lý,47,60.213.929,55.457.529,,47.0,60213929.0,55457529.0
8,8,8,Tài sản và chứng từ khác,48,521.264.498,349.305.079,,48.0,521264498.0,349305079.0
