row_label_raw,row_label_full,col_0,Mối liên quan,2022Triệu VNDThu nhập/(chi phí),2021Triệu VND,numeric__Mối liên quan,numeric__2022Triệu VNDThu nhập/(chi phí),numeric__2021Triệu VND
Ngân hàng Nhà nước Việt NamThu nhập từ lãi tiền gửiChi phí lãi tiền gửi và tiền vay,Ngân hàng Nhà nước Việt NamThu nhập từ lãi tiền gửiChi phí lãi tiền gửi và tiền vay,Ngân hàng Nhà nước Việt NamThu nhập từ lãi tiền gửiChi phí lãi tiền gửi và tiền vay,Đại diệnchủ sở hữu,122.037(76.435),107.034(70.677),,,
Bộ Tài chínhChi phí lãi tiền gửiChi phí lãi tiền vay,Bộ Tài chínhChi phí lãi tiền gửiChi phí lãi tiền vay,Bộ Tài chínhChi phí lãi tiền gửiChi phí lãi tiền vay,Bên liên quancủa chủ sở hữu,(1.477.093)(14.360),(120.582)(18.870),,,
