row_label_raw,row_label_full,col_0,2022Triệu VND,2021Triệu VND(trình bày lại),numeric__2022Triệu VND,numeric__2021Triệu VND(trình bày lại)
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,37.368.091,27.485.843,37368091.0,27485843.0
Điều chỉnh cho các khoản:Lợi nhuận tính thuế của các công ty con,Điều chỉnh cho các khoản:Lợi nhuận tính thuế của các công ty con,Điều chỉnh cho các khoản:Lợi nhuận tính thuế của các công ty con,(724.243),(972.084),-724243.0,-972084.0
Cổ tức nhận được trong năm (Thuyết minh 30),Cổ tức nhận được trong năm (Thuyết minh 30),Cổ tức nhận được trong năm (Thuyết minh 30),(117.241),(93.953),-117241.0,-93953.0
"Phân chia lãi theo phương pháp vốn chủ sở hữu củacác khoản đầu tư vào các công ty liên doanh, liên kết(Thuyết minh 30)","Phân chia lãi theo phương pháp vốn chủ sở hữu củacác khoản đầu tư vào các công ty liên doanh, liên kết(Thuyết minh 30)","Phân chia lãi theo phương pháp vốn chủ sở hữu củacác khoản đầu tư vào các công ty liên doanh, liên kết(Thuyết minh 30)",(21.613),(31.930),-21613.0,-31930.0
Các khoản điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh hợp nhất không chịu thuế,12.876,(8.411),12876.0,-8411.0
Các khoản chi phí không được khấu trừ trong năm,Các khoản chi phí không được khấu trừ trong năm,Các khoản chi phí không được khấu trừ trong năm,4.832.253,2.728,4832253.0,2728.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(24.618),-,-24618.0,
Hoàn nhập chi phí không được khấu trừ thuế của năm trước,Hoàn nhập chi phí không được khấu trừ thuế của năm trước,Hoàn nhập chi phí không được khấu trừ thuế của năm trước,-,(4.511.958),,-4511958.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,41.325.505,21.870.235,41325505.0,21870235.0
Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Chi phí thuế TNDN hiện hành của Ngân hàng(thuế suất: 20%),Chi phí thuế TNDN hiện hành của Ngân hàng(thuế suất: 20%),Chi phí thuế TNDN hiện hành của Ngân hàng(thuế suất: 20%),8.265.101,4.374.047,8265101.0,4374047.0
Chi phí thuế TNDN hiện hành của công ty con,Chi phí thuế TNDN hiện hành của công ty con,Chi phí thuế TNDN hiện hành của công ty con,141.759,183.961,141759.0,183961.0
Số thuế thu nhập phải nộp đối với lợi nhuận chuyển về từ côngty con ở nước ngoài,Số thuế thu nhập phải nộp đối với lợi nhuận chuyển về từ côngty con ở nước ngoài,Số thuế thu nhập phải nộp đối với lợi nhuận chuyển về từ côngty con ở nước ngoài,-,2.120,,2120.0
Thuế thu nhập doanh nghiệp theo thuế suất áp dụng,Thuế thu nhập doanh nghiệp theo thuế suất áp dụng,Thuế thu nhập doanh nghiệp theo thuế suất áp dụng,8.406.860,4.560.128,8406860.0,4560128.0
