row_label_raw,row_label_full,col_0,col_1,Kinh doanhTriệu VND,Giữ đếngày đáo hạnTriệu VND,Cho vay và phảithuTriệu VND,Sẵn sàngđể bánTriệu VND,Hạch toántheo giá trịphân bổTriệu VND,Tổng giá trị ghi sốTriệu VND,Giá trịhợp lýTriệu VND,numeric__col_1,numeric__Kinh doanhTriệu VND,numeric__Giữ đếngày đáo hạnTriệu VND,numeric__Cho vay và phảithuTriệu VND,numeric__Sẵn sàngđể bánTriệu VND,numeric__Hạch toántheo giá trịphân bổTriệu VND,numeric__Tổng giá trị ghi sốTriệu VND,numeric__Giá trịhợp lýTriệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
I,Tài sản tài chính > I,I,"Tiền mặt, vàng bạc, đá quý",-,-,18.348.534,-,-,18.348.534,18.348.534,,,,18348534.0,,,18348534.0,18348534.0
II,Tài sản tài chính > II,II,Tiền gửi tại NHNN,-,-,92.557.809,-,-,92.557.809,92.557.809,,,,92557809.0,,,92557809.0,92557809.0
III,Tài sản tài chính > III,III,Tiền gửi và cho vay các TCTD khác,-,-,324.477.444,-,-,324.477.444,(*),,,,324477444.0,,,324477444.0,
IV,Tài sản tài chính > IV,IV,Chứng khoán kinh doanh,1.543.575,-,-,-,-,1.543.575,(*),,1543575.0,,,,,1543575.0,
V,Tài sản tài chính > V,V,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,156.515,-,-,-,-,156.515,(*),,156515.0,,,,,156515.0,
VI,Tài sản tài chính > VI,VI,Cho vay khách hàng,-,-,1.145.066.250,-,-,1.145.066.250,(*),,,,1145066250.0,,,1145066250.0,
VIII,Tài sản tài chính > VIII,VIII,Chứng khoán đầu tư,-,95.513.376,-,100.739.670,-,196.253.046,(*),,,95513376.0,,100739670.0,,196253046.0,
IX,Tài sản tài chính > IX,IX,"Góp vốn, đầu tư dài hạn",-,-,-,1.529.145,-,1.529.145,(*),,,,,1529145.0,,1529145.0,
XII,Tài sản tài chính > XII,XII,Tài sản tài chính khác,-,-,32.992.302,-,-,32.992.302,(*),,,,32992302.0,,,32992302.0,
,,,,1.700.090,95.513.376,1.613.442.339,102.268.815,-,1.812.924.620,,,1700090.0,95513376.0,1613442339.0,102268815.0,,1812924620.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
I,Nợ phải trả tài chính > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,-,-,299.825.666,299.825.666,(*),,,,,,299825666.0,299825666.0,
II,Nợ phải trả tài chính > II,II,Tiền gửi của khách hàng,-,-,-,-,1.243.468.471,1.243.468.471,(*),,,,,,1243468471.0,1243468471.0,
IV,Nợ phải trả tài chính > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,3.298,3.298,(*),,,,,,3298.0,3298.0,
V,Nợ phải trả tài chính > V,V,Phát hành giấy tờ có giá,-,-,-,-,25.337.894,25.337.894,(*),,,,,,25337894.0,25337894.0,
VI,Nợ phải trả tài chính > VI,VI,Các khoản nợ phải trả tài chính khác,-,-,-,-,72.214.829,72.214.829,(*),,,,,,72214829.0,72214829.0,
,,,,-,-,-,-,1.640.850.158,1.640.850.158,,,,,,,1640850158.0,1640850158.0,
