row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Nước ngoài > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2022:_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,114.061.990,20.398.788,60.797.388,100.745,(107.246.211),88.112.700,,114061990.0,20398788.0,60797388.0,100745.0,-107246211.0,88112700.0
2,2,2,Chi phí lãi và các chi phí tương tự,(93.298.802),(12.461.684),(36.317.251),(24.734),107.236.249,(34.866.222),,-93298802.0,-12461684.0,-36317251.0,-24734.0,107236249.0,-34866222.0
I,I,I,Thu nhập lãi thuần,20.763.188,7.937.104,24.480.137,76.011,(9.962),53.246.478,,20763188.0,7937104.0,24480137.0,76011.0,-9962.0,53246478.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.974.411,890.715,3.405.801,115.801,(961.721),12.425.007,,8974411.0,890715.0,3405801.0,115801.0,-961721.0,12425007.0
4,4,4,Chi phí hoạt động dịch vụ,(6.217.860),(39.285),(116.644),(31.439),819.321,(5.585.907),,-6217860.0,-39285.0,-116644.0,-31439.0,819321.0,-5585907.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,2.756.551,851.430,3.289.157,84.362,(142.400),6.839.100,,2756551.0,851430.0,3289157.0,84362.0,-142400.0,6839100.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,3.700.231,246.348,1.821.560,306,-,5.768.445,,3700231.0,246348.0,1821560.0,306.0,,5768445.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,(112.280),-,-,-,(2.914),(115.194),,-112280.0,,,,-2914.0,-115194.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,81.595,-,-,-,-,81.595,,81595.0,,,,,81595.0
5,5,5,Thu nhập từ hoạt động khác,1.273.917,634.594,1.000.022,19.806,-,2.928.339,,1273917.0,634594.0,1000022.0,19806.0,,2928339.0
6,6,6,Chi phí hoạt động khác,(654.431),(57.024),(161.695),(1.228),-,(874.378),,-654431.0,-57024.0,-161695.0,-1228.0,,-874378.0
VI,VI,VI,Lãi thuần từ hoạt động khác,619.486,577.570,838.327,18.578,-,2.053.961,,619486.0,577570.0,838327.0,18578.0,,2053961.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",208.436,-,-,-,-,208.436,,208436.0,,,,,208436.0
,,,Tổng thu nhập hoạt động,28.017.207,9.612.452,30.429.181,179.257,(155.276),68.082.821,,28017207.0,9612452.0,30429181.0,179257.0,-155276.0,68082821.0
VIII,VIII,VIII,Chi phí hoạt động,(12.642.899),(2.315.148),(6.327.632),(107.196),142.363,(21.250.512),,-12642899.0,-2315148.0,-6327632.0,-107196.0,142363.0,-21250512.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,15.374.308,7.297.304,24.101.549,72.061,(12.913),46.832.309,,15374308.0,7297304.0,24101549.0,72061.0,-12913.0,46832309.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(4.678.225),(934.953),(3.832.540),(18.500),-,(9.464.218),,-4678225.0,-934953.0,-3832540.0,-18500.0,,-9464218.0
XI,XI,XI,Tổng lợi nhuận trước thuế,10.696.083,6.362.351,20.269.009,53.561,(12.913),37.368.091,,10696083.0,6362351.0,20269009.0,53561.0,-12913.0,37368091.0
7,7,7,Chi phí thuế TNDN hiện hành,(3.077.096),(1.272.470),(4.053.513),(3.781),-,(8.406.860),,-3077096.0,-1272470.0,-4053513.0,-3781.0,,-8406860.0
8,8,8,Chi phí thuế TNDN hoàn lại,957.823,-,-,-,-,957.823,,957823.0,,,,,957823.0
XII,XII,XII,Chi phí thuế TNDN,(2.119.273),(1.272.470),(4.053.513),(3.781),-,(7.449.037),,-2119273.0,-1272470.0,-4053513.0,-3781.0,,-7449037.0
XIII,XIII,XIII,Lợi nhuận sau thuế,8.576.810,5.089.881,16.215.496,49.780,(12.913),29.919.054,,8576810.0,5089881.0,16215496.0,49780.0,-12913.0,29919054.0
