row_label_raw,row_label_full,col_0,31/12/2021Triệu VND(trình bày lại),31/12/2021Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2021Triệu VND(trình bày lại),numeric__31/12/2021Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,70.621.957,70.749.002,(127.045),70621957.0,70749002.0,-127045.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,42.272.572,42.399.617,(127.045),42272572.0,42399617.0,-127045.0
Lãi thuần từ mua bán chứng khoánkinh doanh,Lãi thuần từ mua bán chứng khoánkinh doanh,Lãi thuần từ mua bán chứng khoánkinh doanh,137.665,104.114,33.551,137665.0,104114.0,33551.0
Lỗ thuần từ mua bán chứng khoánđầu tư,Lỗ thuần từ mua bán chứng khoánđầu tư,Lỗ thuần từ mua bán chứng khoánđầu tư,(85.235),(85.126),(109),-85235.0,-85126.0,-109.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,56.629.966,56.723.569,(93.603),56629966.0,56723569.0,-93603.0
CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,(17.665.925),(17.574.188),(91.737),-17665925.0,-17574188.0,-91737.0
Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,38.964.041,39.149.381,(185.340),38964041.0,39149381.0,-185340.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(11.478.198),(11.760.801),282.603,-11478198.0,-11760801.0,282603.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,27.485.843,27.388.580,97.263,27485843.0,27388580.0,97263.0
Chi phí thuế thu nhập doanh nghiệp - hiện hành,Chi phí thuế thu nhập doanh nghiệp - hiện hành,Chi phí thuế thu nhập doanh nghiệp - hiện hành,(4.560.128),(4.547.363),(12.765),-4560128.0,-4547363.0,-12765.0
Chi phí thuế thu nhập doanh nghiệp - hoãn lại,Chi phí thuế thu nhập doanh nghiệp - hoãn lại,Chi phí thuế thu nhập doanh nghiệp - hoãn lại,(908.882),(902.172),(6.710),-908882.0,-902172.0,-6710.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(5.469.010),(5.449.535),(19.475),-5469010.0,-5449535.0,-19475.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,22.016.833,21.939.045,77.788,22016833.0,21939045.0,77788.0
