row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,1.281.556.948.813,899.845.087.070,1.0,1281556948813.0,899845087070.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
"- Khấu hao tài sản cố định, bắt động sản đầu tư và lợi thế thương mại","2. Điều chỉnh cho các khoản > - Khấu hao tài sản cố định, bắt động sản đầu tư và lợi thế thương mại","- Khấu hao tài sản cố định, bắt động sản đầu tư và lợi thế thương mại",02,51.221.152.288,44.886.569.674,2.0,51221152288.0,44886569674.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,3.904.797.806,(4.399.791.836),3.0,3904797806.0,-4399791836.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(26.206.966),(30.967),4.0,-26206966.0,-30967.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(902.713.939.876),(600.687.034.020),5.0,-902713939876.0,-600687034020.0
- Chi phí lãi vay và phát hành trái phiếu,2. Điều chỉnh cho các khoản > - Chi phí lãi vay và phát hành trái phiếu,- Chi phí lãi vay và phát hành trái phiếu,06,99.383.966.027,37.386.634.438,6.0,99383966027.0,37386634438.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,533.326.718.092,377.031.434.359,8.0,533326718092.0,377031434359.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(2.153.571.925.962),(203.929.722.350),9.0,-2153571925962.0,-203929722350.0
