row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,31/12/2021 > Tỷ lệ %,31/12/2021 > Giá gốc VND,31/12/2021 > Dự phòng VND,01/01/2021 > Tỷ lệ %,01/01/2021 > Giá gốc VND,01/01/2021 > Dự phòng VND,numeric__31/12/2021 > Tỷ lệ %,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Dự phòng VND,numeric__01/01/2021 > Tỷ lệ %,numeric__01/01/2021 > Giá gốc VND,numeric__01/01/2021 > Dự phòng VND
Công ty CP Đầu tư và Thương mại DIC,Công ty CP Đầu tư và Thương mại DIC,Công ty CP Đầu tư và Thương mại DIC,"14,75",41.104.911.284,(25.775.606.815),"14,75",41.104.911.284,(19.080.005.672),14.75,41104911284.0,-25775606815.0,14.75,41104911284.0,-19080005672.0
Công ty CP Cao su Phú Riềng - Kratie,Công ty CP Cao su Phú Riềng - Kratie,Công ty CP Cao su Phú Riềng - Kratie,"5,00",20.000.000.000,(20.000.000.000),"5,00",20.000.000.000,(20.000.000.000),5.0,20000000000.0,-20000000000.0,5.0,20000000000.0,-20000000000.0
Công ty CP Vina Đại phương,Công ty CP Vina Đại phương,Công ty CP Vina Đại phương,"0,1",1.610.000.000,-,"0,1",1.610.000.000,(227.305.434),0.1,1610000000.0,,0.1,1610000000.0,-227305434.0
Công ty CP Sông Đà – Hà Nội,Công ty CP Sông Đà – Hà Nội,Công ty CP Sông Đà – Hà Nội,,-,-,"15,00",6.000.000.000,-,,,,15.0,6000000000.0,
Công ty CP Phát triển đô thị Phú Quốc,Công ty CP Phát triển đô thị Phú Quốc,Công ty CP Phát triển đô thị Phú Quốc,,-,-,"6,67",50.000.000.000,-,,,,6.67,50000000000.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,734.781.093,(44.732.876),,368.458.093,(116.348.408),,734781093.0,-44732876.0,,368458093.0,-116348408.0
Cộng,Cộng,Cộng,,63.449.692.377,(45.820.339.691),,119.083.369.377,(39.423.659.514),,63449692377.0,-45820339691.0,,119083369377.0,-39423659514.0
