row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốcVND,31/12/2021 > Giá trị ghi sởVND,01/01/2021 > Giá gốcVND,01/01/2021 > Giá trị ghi sởVND,numeric__31/12/2021 > Giá gốcVND,numeric__31/12/2021 > Giá trị ghi sởVND,numeric__01/01/2021 > Giá gốcVND,numeric__01/01/2021 > Giá trị ghi sởVND
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.737.903.082.422,2.737.903.082.422,137.000.000.000,137.000.000.000,2737903082422.0,2737903082422.0,137000000000.0,137000000000.0
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),1.546.810.816.439,1.546.810.816.439,137.000.000.000,137.000.000.000,1546810816439.0,1546810816439.0,137000000000.0,137000000000.0
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),1.191.092.265.983,1.191.092.265.983,-,-,1191092265983.0,1191092265983.0,,
Dài hạn,Dài hạn,Dài hạn,33.000.000.000,33.000.000.000,38.000.000.000,38.000.000.000,33000000000.0,33000000000.0,38000000000.0,38000000000.0
Trái phiếu (iii),Trái phiếu (iii),Trái phiếu (iii),33.000.000.000,33.000.000.000,38.000.000.000,38.000.000.000,33000000000.0,33000000000.0,38000000000.0,38000000000.0
Cộng,Cộng,Cộng,2.770.903.082.422,2.770.903.082.422,175.000.000.000,175.000.000.000,2770903082422.0,2770903082422.0,175000000000.0,175000000000.0
