row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Ngành nghề kinh doanh chính,Tỷ lệ biểu quyết,Tỷ lệ lợi ích,numeric__Địa chỉ,numeric__Ngành nghề kinh doanh chính,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ lợi ích
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,"Tòa nhà Ruby Tower - số 12, đường 3 tháng 2, phường 8, TP.Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",Xây lắp,"35,89","39,29",,,35.89,39.29
Công ty CP bất động sản D.I.C,Công ty CP bất động sản D.I.C,Công ty CP bất động sản D.I.C,"Số 118 Gateway B, phường Nguyễn An Ninh, TP.Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",Bất động sản,"42,68","42,68",,,42.68,42.68
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,"Số 169 Thủy Vân, phường 8, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",Sản xuất bê tông,36,36,,,36.0,36.0
Công ty CP Đầu tư Phát triển Phương Nam (Sở hữu gián tiếp),Công ty CP Đầu tư Phát triển Phương Nam (Sở hữu gián tiếp),Công ty CP Đầu tư Phát triển Phương Nam (Sở hữu gián tiếp),"Số 15 Thi Sách, phường Thắng Tam, TP.Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",Dịch vụ lưu trú ngắn ngày,46,46,,,46.0,46.0
