row_label_raw,row_label_full,Chênh lệch giá trị tài sản góp vốn và chuyển nhượng,Năm nayVND > 861.965.672.025,Năm trướcVND > 590.077.841.184,numeric__Năm nayVND > 861.965.672.025,numeric__Năm trướcVND > 590.077.841.184
Lãi từ được giảm khoản nợ phải trả,Lãi từ được giảm khoản nợ phải trả,Lãi từ được giảm khoản nợ phải trả,15.000.000.000,15.246.935.951,15000000000.0,15246935951.0
Lãi thanh lý tài sản cố định,Lãi thanh lý tài sản cố định,Lãi thanh lý tài sản cố định,-,5.691.808.951,,5691808951.0
Thu từ các khoản vi phạm hợp đồng,Thu từ các khoản vi phạm hợp đồng,Thu từ các khoản vi phạm hợp đồng,3.202.658.413,2.501.896.558,3202658413.0,2501896558.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,6.574.556.389,13.384.263.709,6574556389.0,13384263709.0
Cộng,Cộng,Cộng,886.742.886.827,626.902.746.353,886742886827.0,626902746353.0
