row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,17.954.222.870,1.347.027.400,19.301.250.270,17954222870.0,1347027400.0,19301250270.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,430.651.600,430.651.600,,430651600.0,430651600.0
Tăng từ thành phẩm bất động sản,Nguyên giá > Tăng từ thành phẩm bất động sản,Tăng từ thành phẩm bất động sản,3.065.082.600,-,3.065.082.600,3065082600.0,,3065082600.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,4.299.140.000,,4.299.140.000,4299140000.0,,4299140000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.857.618.000),(85.680.000),(1.943.298.000),-1857618000.0,-85680000.0,-1943298000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,23.460.827.470,1.691.999.000,25.152.826.470,23460827470.0,1691999000.0,25152826470.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,297.627.369,444.286.739,741.914.108,297627369.0,444286739.0,741914108.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,26.962.288,251.477.889,278.440.177,26962288.0,251477889.0,278440177.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,1.127.470.556,-,1.127.470.556,1127470556.0,,1127470556.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(85.680.000),(85.680.000),,-85680000.0,-85680000.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.452.060.213,610.084.628,2.062.144.841,1452060213.0,610084628.0,2062144841.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,17.656.595.501,902.740.661,18.559.336.162,17656595501.0,902740661.0,18559336162.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,22.008.767.257,1.081.914.372,23.090.681.629,22008767257.0,1081914372.0,23090681629.0
