row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư Lợi nhuận sau thuế phát triển,chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư Lợi nhuận sau thuế phát triển,numeric__chưa phân phối,numeric__Tổng cộng
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.184.925.510.000,296.708.538.421,1.550.200.000,215.043.954.655,1.034.315.397.871,4.732.543.600.947,3184925510000.0,296708538421.0,1550200000.0,215043954655.0,1034315397871.0,4732543600947.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),913.984.110.000,-,-,-,(913.984.110.000),-,913984110000.0,,,,-913984110000.0,
Phát hành cổ phiếu người lao động (ii),Phát hành cổ phiếu người lao động (ii),Phát hành cổ phiếu người lao động (ii),150.000.000.000,74.782.000.000,-,-,-,224.782.000.000,150000000000.0,74782000000.0,,,,224782000000.0
Phát hành cổ phiếu riêng lẻ (iii),Phát hành cổ phiếu riêng lẻ (iii),Phát hành cổ phiếu riêng lẻ (iii),750.000.000.000,749.802.000.000,-,-,-,1.499.802.000.000,750000000000.0,749802000000.0,,,,1499802000000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,986.154.280.785,986.154.280.785,,,,,986154280785.0,986154280785.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,14.948.597.441,(14.948.597.441),-,,,,14948597441.0,-14948597441.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(36.294.805.416),(36.294.805.416),,,,,-36294805416.0,-36294805416.0
Công ty con tăng vốn bằng chia cổ tức bằng cổ phiếu,Công ty con tăng vốn bằng chia cổ tức bằng cổ phiếu,Công ty con tăng vốn bằng chia cổ tức bằng cổ phiếu,-,-,1.261.800.000,-,(1.261.800.000),-,,,1261800000.0,,-1261800000.0,
Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,-,-,-,-,57.435.847.559,57.435.847.559,,,,,57435847559.0,57435847559.0
Biến động khác,Biến động khác,Biến động khác,-,(173.000.000),-,-,-,(173.000.000),,-173000000.0,,,,-173000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.998.909.620.000,1.121.119.538.421,2.812.000.000,229.992.552.096,1.111.416.213.358,7.464.249.923.875,4998909620000.0,1121119538421.0,2812000000.0,229992552096.0,1111416213358.0,7464249923875.0
